"Country","Country_work","gender","nation","Location","what_participant_group","field_research","id","type.grant","number"
"Norway","Germany","Male","Germany","Norway","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","42","external_pi_grant_11_15_fundamental","13-15"
"South Africa","South Africa","Female","South Africa","South Africa","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","43","external_pi_grant_11_15_fundamental","7-9"
"Portugal","Portugal","Male","Portugal","Portugal","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","44","external_pi_grant_11_15_fundamental","7-9"
"Malaysia","Malaysia","Female","Malaysia","Malaysia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","45","external_pi_grant_11_15_fundamental","1-3"
"United States","United States","Male","United States","Illinois","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","46","external_pi_grant_11_15_fundamental","16+"
"","Australia","Female","Australia","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","47","external_pi_grant_11_15_fundamental","0"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","48","external_pi_grant_11_15_fundamental","0"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","49","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","50","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","51","external_pi_grant_11_15_fundamental","4-6"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","52","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","53","external_pi_grant_11_15_fundamental","0"
"Italy","Italy","Female","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","54","external_pi_grant_11_15_fundamental","0"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","55","external_pi_grant_11_15_fundamental","7-9"
"Italy","Italy","Male","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","56","external_pi_grant_11_15_fundamental","0"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","57","external_pi_grant_11_15_fundamental","4-6"
"Netherlands","Netherlands","Female","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","58","external_pi_grant_11_15_fundamental","7-9"
"Italy","Italy","Male","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","59","external_pi_grant_11_15_fundamental","1-3"
"Netherlands","Netherlands","Female","Netherlands","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","60","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","61","external_pi_grant_11_15_fundamental","7-9"
"Italy","Italy","Male","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","62","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Physical Science (eg. math, physics, chemistry, computer science)","63","external_pi_grant_11_15_fundamental","1-3"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","64","external_pi_grant_11_15_fundamental","1-3"
"Italy","Netherlands","Male","Netherlands","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","65","external_pi_grant_11_15_fundamental","7-9"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","66","external_pi_grant_11_15_fundamental","4-6"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","67","external_pi_grant_11_15_fundamental","1-3"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","68","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","69","external_pi_grant_11_15_fundamental","0"
"Belgium","Belgium","Female","Belgium","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","70","external_pi_grant_11_15_fundamental","4-6"
"Belgium","Netherlands","Male","Netherlands","Belgium","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","71","external_pi_grant_11_15_fundamental","4-6"
"Norway","Norway","Male","Norway","Norway","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","72","external_pi_grant_11_15_fundamental","4-6"
"Germany","United States","Male","United States","Germany","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","73","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","74","external_pi_grant_11_15_fundamental","0"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","75","external_pi_grant_11_15_fundamental","10-12"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","76","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","77","external_pi_grant_11_15_fundamental","7-9"
"Italy","Italy","Female","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","78","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","79","external_pi_grant_11_15_fundamental","4-6"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Engineering","80","external_pi_grant_11_15_fundamental","0"
"Finland","Finland","Female","Finland","Finland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","81","external_pi_grant_11_15_fundamental","4-6"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","82","external_pi_grant_11_15_fundamental","4-6"
"Belgium","Belgium","Male","Belgium","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","83","external_pi_grant_11_15_fundamental","1-3"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","84","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","85","external_pi_grant_11_15_fundamental","1-3"
"Netherlands","Netherlands","Female","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","86","external_pi_grant_11_15_fundamental","4-6"
"Netherlands","","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","87","external_pi_grant_11_15_fundamental","1-3"
"France","France","Male","France","France","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","88","external_pi_grant_11_15_fundamental","4-6"
"Italy","Italy","Female","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","89","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Female","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","90","external_pi_grant_11_15_fundamental","1-3"
"Israel","Israel","Male","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","91","external_pi_grant_11_15_fundamental","13-15"
"Argentina","France","Male","France","Argentina","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","92","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","93","external_pi_grant_11_15_fundamental","1-3"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","94","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Female","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","95","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","96","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","97","external_pi_grant_11_15_fundamental","10-12"
"Greece","Greece","Female","Greece","Greece","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","98","external_pi_grant_11_15_fundamental","1-3"
"Italy","Netherlands","Male","Netherlands","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","99","external_pi_grant_11_15_fundamental","4-6"
"Germany","Germany","Male","Germany","Germany","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","100","external_pi_grant_11_15_fundamental","1-3"
"Cyprus","Cyprus","Female","Cyprus","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","101","external_pi_grant_11_15_fundamental","1-3"
"Hungary","Hungary","Female","Hungary","Hungary","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","102","external_pi_grant_11_15_fundamental","4-6"
"Vietnam","Vietnam","Male","Vietnam","Vietnam","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","103","external_pi_grant_11_15_fundamental","1-3"
"Japan","Japan","Male","Japan","Japan","Senior academic researcher with >10 years of experience applying for research grants","Engineering","104","external_pi_grant_11_15_fundamental","1-3"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","105","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Interdisciplinary Science","106","external_pi_grant_11_15_fundamental","7-9"
"France","France","Female","France","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","107","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Female","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","108","external_pi_grant_11_15_fundamental","4-6"
"Norway","Norway","Female","Norway","Norway","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","109","external_pi_grant_11_15_fundamental","13-15"
"Italy","Italy","Female","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","110","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Female","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","111","external_pi_grant_11_15_fundamental","1-3"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","112","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Engineering","113","external_pi_grant_11_15_fundamental","1-3"
"Spain","Spain","Female","Spain","Spain","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","114","external_pi_grant_11_15_fundamental","0"
"Switzerland","Italy","Male","Italy","Switzerland","","Physical Science (eg. math, physics, chemistry, computer science)","115","external_pi_grant_11_15_fundamental","1-3"
"Finland","Spain","Male","Spain","Finland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","116","external_pi_grant_11_15_fundamental","1-3"
"Spain","Canada","Male","Canada","Spain","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","117","external_pi_grant_11_15_fundamental","0"
"Italy","Italy","Male","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","118","external_pi_grant_11_15_fundamental","4-6"
"United Kingdom","Italy","Male","Italy","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","119","external_pi_grant_11_15_fundamental","1-3"
"United States","United States","Female","United States","Massachusetts","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","120","external_pi_grant_11_15_fundamental","13-15"
"India","India","Male","India","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","121","external_pi_grant_11_15_fundamental","1-3"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","122","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","123","external_pi_grant_11_15_fundamental","0"
"Japan","","Male","Japan","Japan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","124","external_pi_grant_11_15_fundamental","0"
"Italy","Italy","Male","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","125","external_pi_grant_11_15_fundamental","0"
"France","France","Male","France","France","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","126","external_pi_grant_11_15_fundamental","1-3"
"France","France","Female","France","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","127","external_pi_grant_11_15_fundamental","10-12"
"","Nigeria","Male","Nigeria","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","128","external_pi_grant_11_15_fundamental","0"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","129","external_pi_grant_11_15_fundamental","0"
"Italy","Italy","Female","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","130","external_pi_grant_11_15_fundamental","1-3"
"Israel","Israel","Male","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","131","external_pi_grant_11_15_fundamental","4-6"
"Israel","Israel","Female","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","132","external_pi_grant_11_15_fundamental","10-12"
"United States","United States","Male","United States","California","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","133","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Female","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","134","external_pi_grant_11_15_fundamental","7-9"
"Egypt","Egypt","Male","Egypt","Egypt","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","135","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Female","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","136","external_pi_grant_11_15_fundamental","0"
"Israel","Israel","Female","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","137","external_pi_grant_11_15_fundamental","0"
"Italy","Italy","Female","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","138","external_pi_grant_11_15_fundamental","4-6"
"United Kingdom","Canada","Female","Canada","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","139","external_pi_grant_11_15_fundamental","4-6"
"Netherlands","Netherlands","Female","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","140","external_pi_grant_11_15_fundamental","0"
"Malaysia","Malaysia","Male","Malaysia","Malaysia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","141","external_pi_grant_11_15_fundamental","1-3"
"Israel","Israel","Male","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","142","external_pi_grant_11_15_fundamental","1-3"
"Israel","Israel","Male","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","143","external_pi_grant_11_15_fundamental","4-6"
"Spain","Spain","Male","Spain","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","144","external_pi_grant_11_15_fundamental","1-3"
"Israel","Israel","Female","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","145","external_pi_grant_11_15_fundamental","1-3"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","146","external_pi_grant_11_15_fundamental","1-3"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","147","external_pi_grant_11_15_fundamental","4-6"
"","Australia","Female","Australia","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","148","external_pi_grant_11_15_fundamental","13-15"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","149","external_pi_grant_11_15_fundamental","1-3"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","150","external_pi_grant_11_15_fundamental","4-6"
"United States","Italy","Male","Italy","Illinois","Senior academic researcher with >10 years of experience applying for research grants","Engineering","151","external_pi_grant_11_15_fundamental","1-3"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","152","external_pi_grant_11_15_fundamental","1-3"
"Portugal","Portugal","Male","Portugal","Portugal","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","153","external_pi_grant_11_15_fundamental","7-9"
"Italy","Portugal","Male","Portugal","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","154","external_pi_grant_11_15_fundamental","1-3"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","155","external_pi_grant_11_15_fundamental","4-6"
"Israel","Israel","Female","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","156","external_pi_grant_11_15_fundamental","1-3"
"United States","United States","Male","United States","California","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","157","external_pi_grant_11_15_fundamental","1-3"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","158","external_pi_grant_11_15_fundamental","1-3"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","159","external_pi_grant_11_15_fundamental","1-3"
"United States","United States","Female","United States","Arizona","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","160","external_pi_grant_11_15_fundamental","7-9"
