"Country","Country_work","gender","nation","Location","what_participant_group","field_research","id","year","level"
"","Bangladesh","Female","Bangladesh","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",36,"include_nonacademia_partners_success_11_15","Can't comment"
"Switzerland","Switzerland","Male","Switzerland","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",37,"include_nonacademia_partners_success_11_15","Not at all important"
"Poland","Poland","Female","Poland","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",38,"include_nonacademia_partners_success_11_15","Quite important"
"Turkey","Turkey","Female","Turkey","Turkey","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",39,"include_nonacademia_partners_success_11_15","Not very important"
"Spain","South Africa","Male","South Africa","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",40,"include_nonacademia_partners_success_11_15","Can't comment"
"","Ghana","Male","Ghana","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",41,"include_nonacademia_partners_success_11_15","Quite important"
"Norway","Germany","Male","Germany","Norway","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",42,"include_nonacademia_partners_success_11_15","Quite important"
"South Africa","South Africa","Female","South Africa","South Africa","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",43,"include_nonacademia_partners_success_11_15","Somewhat important"
"Portugal","Portugal","Male","Portugal","Portugal","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",44,"include_nonacademia_partners_success_11_15","Somewhat important"
"Malaysia","Malaysia","Female","Malaysia","Malaysia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",45,"include_nonacademia_partners_success_11_15","Somewhat important"
"United States","United States","Male","United States","Illinois","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",46,"include_nonacademia_partners_success_11_15","Somewhat important"
"","Australia","Female","Australia","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",47,"include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science",48,"include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",49,"include_nonacademia_partners_success_11_15","Quite important"
"Italy","Italy","Male","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",50,"include_nonacademia_partners_success_11_15","Somewhat important"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",51,"include_nonacademia_partners_success_11_15","Quite important"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",52,"include_nonacademia_partners_success_11_15","Mandatory"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",53,"include_nonacademia_partners_success_11_15","Quite important"
"Italy","Italy","Female","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",54,"include_nonacademia_partners_success_11_15","Not at all important"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",55,"include_nonacademia_partners_success_11_15","Not very important"
"Italy","Italy","Male","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",56,"include_nonacademia_partners_success_11_15","Not very important"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",57,"include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","Netherlands","Female","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",58,"include_nonacademia_partners_success_11_15","Quite important"
"Italy","Italy","Male","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",59,"include_nonacademia_partners_success_11_15","Somewhat important"
"Netherlands","Netherlands","Female","Netherlands","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",60,"include_nonacademia_partners_success_11_15","Not at all important"
"Italy","Italy","Male","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",61,"include_nonacademia_partners_success_11_15","Somewhat important"
"Italy","Italy","Male","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",62,"include_nonacademia_partners_success_11_15","Somewhat important"
"Italy","Italy","Male","Italy","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Physical Science (eg. math, physics, chemistry, computer science)",63,"include_nonacademia_partners_success_11_15","Quite important"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",64,"include_nonacademia_partners_success_11_15","Mandatory"
"Italy","Netherlands","Male","Netherlands","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",65,"include_nonacademia_partners_success_11_15","Not very important"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",66,"include_nonacademia_partners_success_11_15","Not very important"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",67,"include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",68,"include_nonacademia_partners_success_11_15","Not at all important"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",69,"include_nonacademia_partners_success_11_15","Mandatory"
"Belgium","Belgium","Female","Belgium","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",70,"include_nonacademia_partners_success_11_15","Can't comment"
"Belgium","Netherlands","Male","Netherlands","Belgium","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",71,"include_nonacademia_partners_success_11_15","Quite important"
"Norway","Norway","Male","Norway","Norway","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",72,"include_nonacademia_partners_success_11_15","Not at all important"
"Germany","United States","Male","United States","Germany","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",73,"include_nonacademia_partners_success_11_15","Can't comment"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",74,"include_nonacademia_partners_success_11_15","Mandatory"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",75,"include_nonacademia_partners_success_11_15","Quite important"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",76,"include_nonacademia_partners_success_11_15","Not at all important"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",77,"include_nonacademia_partners_success_11_15","Quite important"
"Italy","Italy","Female","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",78,"include_nonacademia_partners_success_11_15","Not very important"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",79,"include_nonacademia_partners_success_11_15","Quite important"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Engineering",80,"include_nonacademia_partners_success_11_15","Somewhat important"
"Finland","Finland","Female","Finland","Finland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",81,"include_nonacademia_partners_success_11_15","Mandatory"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",82,"include_nonacademia_partners_success_11_15","Not very important"
"Belgium","Belgium","Male","Belgium","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",83,"include_nonacademia_partners_success_11_15","Not at all important"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",84,"include_nonacademia_partners_success_11_15","Can't comment"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",85,"include_nonacademia_partners_success_11_15","Somewhat important"
"Netherlands","Netherlands","Female","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",86,"include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",87,"include_nonacademia_partners_success_11_15","Quite important"
"France","France","Male","France","France","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",88,"include_nonacademia_partners_success_11_15","Not at all important"
"Italy","Italy","Female","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",89,"include_nonacademia_partners_success_11_15","Not very important"
"Italy","Italy","Female","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",90,"include_nonacademia_partners_success_11_15","Quite important"
"Israel","Israel","Male","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",91,"include_nonacademia_partners_success_11_15","Can't comment"
"Argentina","France","Male","France","Argentina","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",92,"include_nonacademia_partners_success_11_15","Somewhat important"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",93,"include_nonacademia_partners_success_11_15","Quite important"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",94,"include_nonacademia_partners_success_11_15","Somewhat important"
"Canada","Canada","Female","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",95,"include_nonacademia_partners_success_11_15","Somewhat important"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",96,"include_nonacademia_partners_success_11_15","Quite important"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",97,"include_nonacademia_partners_success_11_15","Somewhat important"
"Greece","Greece","Female","Greece","Greece","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",98,"include_nonacademia_partners_success_11_15","Can't comment"
"Italy","Netherlands","Male","Netherlands","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",99,"include_nonacademia_partners_success_11_15","Quite important"
"Germany","Germany","Male","Germany","Germany","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",100,"include_nonacademia_partners_success_11_15","Not at all important"
"Cyprus","Cyprus","Female","Cyprus","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",101,"include_nonacademia_partners_success_11_15","Quite important"
"Hungary","Hungary","Female","Hungary","Hungary","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",102,"include_nonacademia_partners_success_11_15","Not at all important"
"Vietnam","Vietnam","Male","Vietnam","Vietnam","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",103,"include_nonacademia_partners_success_11_15","Quite important"
"Japan","Japan","Male","Japan","Japan","Senior academic researcher with >10 years of experience applying for research grants","Engineering",104,"include_nonacademia_partners_success_11_15","Not very important"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",105,"include_nonacademia_partners_success_11_15","Somewhat important"
"Italy","Italy","Male","Italy","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Interdisciplinary Science",106,"include_nonacademia_partners_success_11_15","Mandatory"
"France","France","Female","France","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",107,"include_nonacademia_partners_success_11_15","Mandatory"
"Italy","Italy","Female","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",108,"include_nonacademia_partners_success_11_15","Can't comment"
"Norway","Norway","Female","Norway","Norway","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",109,"include_nonacademia_partners_success_11_15","Not at all important"
"Italy","Italy","Female","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",110,"include_nonacademia_partners_success_11_15","Not very important"
"Canada","Canada","Female","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",111,"include_nonacademia_partners_success_11_15","Can't comment"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",112,"include_nonacademia_partners_success_11_15","Quite important"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Engineering",113,"include_nonacademia_partners_success_11_15","Quite important"
"Switzerland","Italy","Male","Italy","Switzerland","","Physical Science (eg. math, physics, chemistry, computer science)",115,"include_nonacademia_partners_success_11_15","Quite important"
"Finland","Spain","Male","Spain","Finland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",116,"include_nonacademia_partners_success_11_15","Quite important"
"Spain","Canada","Male","Canada","Spain","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",117,"include_nonacademia_partners_success_11_15","Quite important"
"Italy","Italy","Male","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",118,"include_nonacademia_partners_success_11_15","Not very important"
"United Kingdom","Italy","Male","Italy","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",119,"include_nonacademia_partners_success_11_15","Can't comment"
"United States","United States","Female","United States","Massachusetts","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",120,"include_nonacademia_partners_success_11_15","Can't comment"
"India","India","Male","India","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",121,"include_nonacademia_partners_success_11_15","Mandatory"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",122,"include_nonacademia_partners_success_11_15","Somewhat important"
"Italy","Italy","Male","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",123,"include_nonacademia_partners_success_11_15","Somewhat important"
"Japan","","Male","Japan","Japan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",124,"include_nonacademia_partners_success_11_15","Not at all important"
"Italy","Italy","Male","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",125,"include_nonacademia_partners_success_11_15","Quite important"
"France","France","Male","France","France","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",126,"include_nonacademia_partners_success_11_15","Quite important"
"France","France","Female","France","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",127,"include_nonacademia_partners_success_11_15","Can't comment"
"","Nigeria","Male","Nigeria","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",128,"include_nonacademia_partners_success_11_15","Not very important"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",129,"include_nonacademia_partners_success_11_15","Quite important"
"Italy","Italy","Female","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",130,"include_nonacademia_partners_success_11_15","Somewhat important"
"Israel","Israel","Male","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",131,"include_nonacademia_partners_success_11_15","Not very important"
"Israel","Israel","Female","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",132,"include_nonacademia_partners_success_11_15","Not very important"
"United States","United States","Male","United States","California","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",133,"include_nonacademia_partners_success_11_15","Quite important"
"Italy","Italy","Female","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",134,"include_nonacademia_partners_success_11_15","Not at all important"
"Egypt","Egypt","Male","Egypt","Egypt","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",135,"include_nonacademia_partners_success_11_15","Quite important"
"Italy","Italy","Female","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",136,"include_nonacademia_partners_success_11_15","Quite important"
"Israel","Israel","Female","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",137,"include_nonacademia_partners_success_11_15","Somewhat important"
"Italy","Italy","Female","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",138,"include_nonacademia_partners_success_11_15","Somewhat important"
"United Kingdom","Canada","Female","Canada","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",139,"include_nonacademia_partners_success_11_15","Mandatory"
"Netherlands","Netherlands","Female","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",140,"include_nonacademia_partners_success_11_15","Not very important"
"Malaysia","Malaysia","Male","Malaysia","Malaysia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",141,"include_nonacademia_partners_success_11_15","Quite important"
"Israel","Israel","Male","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",142,"include_nonacademia_partners_success_11_15","Can't comment"
"Israel","Israel","Male","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",143,"include_nonacademia_partners_success_11_15","Can't comment"
"Spain","Spain","Male","Spain","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",144,"include_nonacademia_partners_success_11_15","Not very important"
"Israel","Israel","Female","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",145,"include_nonacademia_partners_success_11_15","Can't comment"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",146,"include_nonacademia_partners_success_11_15","Can't comment"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",147,"include_nonacademia_partners_success_11_15","Not very important"
"","Australia","Female","Australia","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",148,"include_nonacademia_partners_success_11_15","Somewhat important"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",149,"include_nonacademia_partners_success_11_15","Quite important"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",150,"include_nonacademia_partners_success_11_15","Not at all important"
"United States","Italy","Male","Italy","Illinois","Senior academic researcher with >10 years of experience applying for research grants","Engineering",151,"include_nonacademia_partners_success_11_15","Mandatory"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",152,"include_nonacademia_partners_success_11_15","Quite important"
"Portugal","Portugal","Male","Portugal","Portugal","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",153,"include_nonacademia_partners_success_11_15","Can't comment"
"Italy","Portugal","Male","Portugal","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",154,"include_nonacademia_partners_success_11_15","Somewhat important"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",155,"include_nonacademia_partners_success_11_15","Somewhat important"
"Israel","Israel","Female","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",156,"include_nonacademia_partners_success_11_15","Can't comment"
"United States","United States","Male","United States","California","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",157,"include_nonacademia_partners_success_11_15","Not at all important"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",158,"include_nonacademia_partners_success_11_15","Quite important"
