Location,Country_work,Country,,change,other?
Italy,Italy,Italy,,,
Belgium,Belgium,Belgium,,,
Belgium,Netherlands,Belgium,,,
Norway,Norway,Norway,,,
Germany,United States,Germany,,,
Italy,Italy,Italy,,,
Italy,Italy,Italy,,,
Italy,Italy,Italy,,,
Italy,Italy,Italy,,,
Italy,Italy,Italy,,,
Italy,Italy,Italy,,,
Italy,Italy,Italy,,,
Finland,Finland,Finland,,,
United Kingdom,United Kingdom,United Kingdom,,,
Belgium,Belgium,Belgium,,,
United Kingdom,United Kingdom,United Kingdom,,,
Italy,Italy,Italy,,,
Netherlands,Netherlands,Netherlands,,,
Netherlands,,Netherlands,,,
France,France,France,,,
Italy,Italy,Italy,,,
Italy,Italy,Italy,,,
Israel,Israel,Israel,,,
Argentina,France,Argentina,,,
Italy,Italy,Italy,,,
United Kingdom,United Kingdom,United Kingdom,,,
Quebec,Canada,Canada,,,
Italy,Italy,Italy,,,
Italy,Italy,Italy,,,
Greece,Greece,Greece,,,
Italy,Netherlands,Italy,,,
Germany,Germany,Germany,,,
Cyprus,Cyprus,Cyprus,,,
Hungary,Hungary,Hungary,,,
Vietnam,Vietnam,Vietnam,,,
Japan,Japan,Japan,,,
United Kingdom,United Kingdom,United Kingdom,,,
Italy,Italy,Italy,,,
France,France,France,,,
Italy,Italy,Italy,,,
Norway,Norway,Norway,,,
Italy,Italy,Italy,,,
Alberta,Canada,Canada,,,
Netherlands,Netherlands,Netherlands,,,
Italy,Italy,Italy,,,
Spain,Spain,Spain,,,
Switzerland,Italy,Switzerland,,,
Finland,Spain,Finland,,,
Spain,Canada,Spain,,,
Italy,Italy,Italy,,,
United Kingdom,Italy,United Kingdom,,,
Massachusetts,United States,USA,,,
India,India,India,,,
Netherlands,Netherlands,Netherlands,,,
Italy,Italy,Italy,,,
Japan,,Japan,,,
Italy,Italy,Italy,,,
France,France,France,,,
France,France,France,,,
,Nigeria,,,,
Netherlands,Netherlands,Netherlands,,,
Italy,Italy,Italy,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
California,United States,USA,,,
Italy,Italy,Italy,,,
Egypt,Egypt,Egypt,,,
Italy,Italy,Italy,,,
Israel,Israel,Israel,,,
Italy,Italy,Italy,,,
United Kingdom,Canada,United Kingdom,,,
Netherlands,Netherlands,Netherlands,,,
Malaysia,Malaysia,Malaysia,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Spain,Spain,Spain,,,
Israel,Israel,Israel,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
,Australia,,,,
Ontario,Canada,Canada,,,
Australia,Australia,Australia,,,
Illinois,Italy,USA,,,
Alberta,Canada,Canada,,,
Portugal,Portugal,Portugal,,,
Italy,Portugal,Italy,,,
United Kingdom,United Kingdom,United Kingdom,,,
Israel,Israel,Israel,,,
California,United States,USA,,,
Netherlands,Netherlands,Netherlands,,,
Italy,Italy,Italy,,,
Arizona,United States,USA,,,
Wisconsin,United States,USA,,,
Portugal,Spain,Portugal,,,
Belgium,Belgium,Belgium,,,
California,United States,USA,,,
Netherlands,United States,Netherlands,,,
,United States,,,,
Montenegro,Montenegro,Montenegro,,,
Nevada,United States,USA,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Illinois,United States,USA,,,
New York,United States,USA,,,
Australia,Australia,Australia,,,
China,China,China,,,
Israel,Israel,Israel,,,
,United States,,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
Australia,Australia,Australia,,,
,Australia,,,,
United Kingdom,United Kingdom,United Kingdom,,,
Singapore,Singapore,Singapore,,,
Italy,Germany,Italy,,,
Italy,Italy,Italy,,,
United Kingdom,United Kingdom,United Kingdom,,,
New Zealand,New Zealand,New Zealand,,,
Israel,Israel,Israel,,,
United Kingdom,United Kingdom,United Kingdom,,,
Korea,"Korea, South",Korea,,,
Ontario,Canada,Canada,,,
United Kingdom,United Kingdom,United Kingdom,,,
France,France,France,,,
Poland,Poland,Poland,,,
Poland,Poland,Poland,,,
Poland,Poland,Poland,,,
Oregon,United States,USA,,,
Australia,Australia,Australia,,,
Israel,United States,Israel,,,
Netherlands,Netherlands,Netherlands,,,
Australia,Australia,Australia,,,
Poland,Poland,Poland,,,
Poland,Poland,Poland,,,
Serbia,,Serbia,,,
Poland,Poland,Poland,,,
Poland,Poland,Poland,,,
Poland,Poland,Poland,,,
Poland,Poland,Poland,,,
Belgium,Poland,Belgium,,,
Poland,Poland,Poland,,,
Serbia,Serbia,Serbia,,,
France,France,France,,,
France,France,France,,,
France,France,France,,,
Poland,Poland,Poland,,,
Belgium,Belgium,Belgium,,,
Mexico,France,Mexico,,,
France,France,France,,,
France,France,France,,,
France,United States,France,,,
Israel,Israel,Israel,,,
Japan,Japan,Japan,,,
Kenya,Kenya,Kenya,,,
Israel,,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,,Israel,,,
,Israel,,,,
Israel,Israel,Israel,,,
Pennsylvania,Israel,USA,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
France,France,France,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
United Kingdom,Australia,United Kingdom,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
California,United States,USA,,,
,Australia,,,,
Australia,Australia,Australia,,,
Maryland,United States,USA,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Poland,Poland,Poland,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Switzerland,Poland,Switzerland,,,
Serbia,Serbia,Serbia,,,
Israel,Israel,Israel,,,
France,France,France,,,
,Israel,,,,
Israel,Israel,Israel,,,
Netherlands,Netherlands,Netherlands,,,
Germany,France,Germany,,,
Serbia,Serbia,Serbia,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
France,France,France,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Michigan,United States,USA,,,
France,France,France,,,
Romania,Romania,Romania,,,
British Columbia,Canada,Canada,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Switzerland,Israel,Switzerland,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
,Poland,,,,
California,Israel,USA,,,
France,Israel,France,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Germany,Israel,Germany,,,
India,India,India,,,
Greece,Italy,Greece,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Quebec,France,Canada,,,
,United States,,,,
,United States,,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
New Hampshire,Israel,USA,,,
Israel,Israel,Israel,,,
Maryland,Israel,USA,,,
Israel,,Israel,,,
Ontario,Israel,Canada,,,
Switzerland,Israel,Switzerland,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Vermont,Israel,USA,,,
Israel,,Israel,,,
Israel,Israel,Israel,,,
Spain,Israel,Spain,,,
Israel,Israel,Israel,,,
,Israel,,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
United Kingdom,Israel,United Kingdom,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Poland,Poland,Poland,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,,Israel,,,
Israel,Israel,Israel,,,
Arizona,United States,USA,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Michigan,United States,USA,,,
Ontario,Israel,Canada,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Netherlands,India,Netherlands,,,
Israel,Israel,Israel,,,
France,France,France,,,
,Israel,,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
United Kingdom,United Kingdom,United Kingdom,,,
United Kingdom,United Kingdom,United Kingdom,,,
Israel,Israel,Israel,,,
United Kingdom,United Kingdom,United Kingdom,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
Israel,Israel,Israel,,,
,United States,,,,
Israel,Israel,Israel,,,
,United States,,,,
Nebraska,United States,USA,,,
France,Brazil,France,,,
Brazil,Brazil,Brazil,,,
Brazil,Brazil,Brazil,,,
Netherlands,Brazil,Netherlands,,,
Brazil,,Brazil,,,
Brazil,Brazil,Brazil,,,
Brazil,Brazil,Brazil,,,
,Brazil,,,,
Brazil,Brazil,Brazil,,,
Brazil,Brazil,Brazil,,,
Brazil,Brazil,Brazil,,,
Brazil,Brazil,Brazil,,,
Brazil,Brazil,Brazil,,,
Brazil,Brazil,Brazil,,,
Brazil,Brazil,Brazil,,,
Brazil,Brazil,Brazil,,,
Germany,Germany,Germany,,,
Brazil,Brazil,Brazil,,,
Spain,Spain,Spain,,,
Brazil,Brazil,Brazil,,,
Brazil,Brazil,Brazil,,,
Italy,Italy,Italy,,,
Uruguay,Uruguay,Uruguay,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
,Canada,,,,
Quebec,Canada,Canada,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Alberta,Canada,Canada,,,
Quebec,Canada,Canada,,,
Alberta,Canada,Canada,,,
Alberta,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Alberta,Canada,Canada,,,
Newfoundland and Labrador,Canada,Canada,,,
Alberta,Canada,Canada,,,
Alberta,Canada,Canada,,,
Prince Edward Island,Canada,Canada,,,
Saskatchewan,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Saskatchewan,Canada,Canada,,,
New Brunswick,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Alberta,Canada,Canada,,,
Quebec,Canada,Canada,,,
Quebec,Canada,Canada,,,
Quebec,Canada,Canada,,,
Austria,Canada,Austria,,,
Quebec,Canada,Canada,,,
Quebec,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Norway,Canada,Norway,,,
British Columbia,Canada,Canada,,,
Saskatchewan,Canada,Canada,,,
Wisconsin,Canada,USA,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Massachusetts,Canada,USA,,,
Quebec,Canada,Canada,,,
Quebec,Canada,Canada,,,
Quebec,Canada,Canada,,,
British Columbia,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Newfoundland and Labrador,Canada,Canada,,,
Quebec,Canada,Canada,,,
British Columbia,Canada,Canada,,,
France,Canada,France,,,
Ontario,Canada,Canada,,,
,Canada,,,,
Quebec,Canada,Canada,,,
British Columbia,Canada,Canada,,,
British Columbia,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Quebec,,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Newfoundland and Labrador,Canada,Canada,,,
Quebec,Canada,Canada,,,
Alberta,Canada,Canada,,,
France,Canada,France,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
British Columbia,Canada,Canada,,,
British Columbia,Canada,Canada,,,
,Canada,,,,
,Canada,,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Quebec,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Quebec,Canada,Canada,,,
Quebec,,Canada,,,
Quebec,Canada,Canada,,,
Quebec,Canada,Canada,,,
Quebec,Central African Republic,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Switzerland,Canada,Switzerland,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Poland,Canada,Poland,,,
British Columbia,Canada,Canada,,,
Alberta,Canada,Canada,,,
Newfoundland and Labrador,Chad,Canada,,,
Quebec,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
British Columbia,,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Newfoundland and Labrador,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Uruguay,Uruguay,Uruguay,,,
,Canada,,,,
Alberta,Canada,Canada,,,
,,,,,
Ontario,Canada,Canada,,,
Manitoba,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Manitoba,,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
New Brunswick,Canada,Canada,,,
Alberta,Canada,Canada,,,
Alberta,Canada,Canada,,,
New Brunswick,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Ontario,India,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Vermont,Canada,USA,,,
Ontario,,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Alberta,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Alberta,Canada,Canada,,,
Nevada,Canada,USA,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Nevada,Canada,USA,,,
Ontario,Canada,Canada,,,
Alberta,United States,Canada,,,
Quebec,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
France,Canada,France,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,,Canada,,,
Manitoba,Canada,Canada,,,
Quebec,Canada,Canada,,,
Manitoba,Canada,Canada,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
New Brunswick,Canada,Canada,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,,Canada,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
New York,Canada,USA,,,
Ontario,Canada,Canada,,,
Japan,Canada,Japan,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Saskatchewan,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Prince Edward Island,Canada,Canada,,,
British Columbia,Canada,Canada,,,
British Columbia,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Manitoba,,Canada,,,
Alberta,Canada,Canada,,,
France,Canada,France,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Alberta,Canada,Canada,,,
Alberta,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Quebec,,Canada,,,
United Kingdom,Canada,United Kingdom,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Manitoba,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Newfoundland and Labrador,Canada,Canada,,,
Ontario,Canada,Canada,,,
,Canada,,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
New York,Canada,USA,,,
Greece,Canada,Greece,,,
Quebec,Canada,Canada,,,
Alberta,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Croatia,Canada,Croatia,,,
,Canada,,,,
Prince Edward Island,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
,Canada,,,,
Alberta,Canada,Canada,,,
Alberta,Canada,Canada,,,
,Canada,,,,
British Columbia,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Korea,,Korea,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Switzerland,Canada,Switzerland,,,
,Canada,,,,
Nova Scotia,Canada,Canada,,,
Alberta,Canada,Canada,,,
,Canada,,,,
Alberta,Canada,Canada,,,
New Brunswick,Canada,Canada,,,
Quebec,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Vermont,Canada,USA,,,
,Canada,,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
Mexico,Canada,Mexico,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Ontario,Canada,Canada,,,
,United States,,,,
Florida,Canada,USA,,,
,Canada,,,,
,Canada,,,,
Australia,Canada,Australia,,,
Ontario,Canada,Canada,,,
Chile,Chile,Chile,,,
Saskatchewan,Canada,Canada,,,
,Canada,,,,
Yukon Territory,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Quebec,Canada,Canada,,,
,Canada,,,,
Alberta,Canada,Canada,,,
Prince Edward Island,Canada,Canada,,,
Alberta,Canada,Canada,,,
British Columbia,Canada,Canada,,,
,Canada,,,,
British Columbia,Canada,Canada,,,
New Brunswick,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Alberta,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Argentina,Argentina,Argentina,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Sweden,Canada,Sweden,,,
Newfoundland and Labrador,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Newfoundland and Labrador,Canada,Canada,,,
New Brunswick,Canada,Canada,,,
Japan,Canada,Japan,,,
New Brunswick,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
New York,Canada,USA,,,
,Canada,,,,
United Kingdom,France,United Kingdom,,,
,Canada,,,,
,Canada,,,,
,Canada,,,,
,Canada,,,,
British Columbia,Canada,Canada,,,
New Brunswick,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
,Canada,,,,
New York,United States,USA,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
New Jersey,United States,USA,,,
Australia,Canada,Australia,,,
Quebec,Canada,Canada,,,
Alberta,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Alberta,Canada,Canada,,,
Japan,Canada,Japan,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
,Canada,,,,
British Columbia,Canada,Canada,,,
,Canada,,,,
India,Canada,India,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Quebec,Canada,Canada,,,
Illinois,Canada,USA,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Alberta,Canada,Canada,,,
,Canada,,,,
Alberta,Canada,Canada,,,
,Canada,,,,
British Columbia,Canada,Canada,,,
Ethiopia,Canada,Ethiopia,,,
,Canada,,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Italy,Canada,Italy,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Finland,Canada,Finland,,,
New Brunswick,Canada,Canada,,,
Serbia,Serbia,Serbia,,,
Greece,Canada,Greece,,,
Switzerland,Canada,Switzerland,,,
Nova Scotia,Canada,Canada,,,
Newfoundland and Labrador,Canada,Canada,,,
France,Canada,France,,,
Newfoundland and Labrador,Canada,Canada,,,
,Canada,,,,
France,Canada,France,,,
Ontario,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Ontario,Canada,Canada,,,
,Canada,,,,
,Canada,,,,
Newfoundland and Labrador,Canada,Canada,,,
Ontario,Canada,Canada,,,
British Columbia,Canada,Canada,,,
Brazil,Canada,Brazil,,,
Nova Scotia,Canada,Canada,,,
Newfoundland and Labrador,Canada,Canada,,,
,Canada,,,,
Ontario,Canada,Canada,,,
Nova Scotia,Canada,Canada,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Uruguay,Uruguay,Uruguay,,,
,Canada,,,,
Quebec,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Ontario,Canada,Canada,,,
Germany,Canada,Germany,,,
Alberta,Canada,Canada,,,
Netherlands,Canada,Netherlands,,,
Alberta,Canada,Canada,,,
Ontario,Canada,Canada,,,
