"Location","nation","Country","gender","field_research","Country_work","PhD_Year","what_participant_group","id","class","percent_applied_research_current","percent_applied_research_past","percent_fundamental_research_current","percent_fundamental_research_past","percent_use_inspired_research_current","percent_use_inspired_research_past","changed_10yrs","main_reason_change_interest_related","main_reason_change_career_related","main_reason_change_funding_related","main_reason_change_socially_related","main_reason_change_other","Main_reason_change_Other_text","view_change_of_type","partnership_outside_current","partnership_outside_before","partnership_change_10yrs","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_applied","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_6_10_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_for_profit","distribution_funding_11_15_government","distribution_funding_11_15_internal","distribution_funding_11_15_nongov","distribution_funding_11_15_other","distribution_funding_6_10_for_profit","distribution_funding_6_10_government","distribution_funding_6_10_internal","distribution_funding_6_10_nongov","distribution_funding_6_10_other","distribution_funding_11_15_other_text","distribution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","high_priority_comments","next_generation_comments","final_comments","OCED_category"
"Netherlands","Germany","Netherlands","Female","Social Science / Humanities","Germany","2005","Senior academic researcher with >10 years of experience applying for research grants",11,"developed","0","0","70","80","20","20","Yes",1,1,NA,NA,NA,"","Very positive","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","1-3","0","4-6","0","80","90","","100","","","Can't comment","Can't comment","Not at all important","Not at all important","20","80","0","0","0","0","80","0","20","0","","","Stayed the same","Increased considerably","","",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","","","","","High Income"
"Netherlands","United Kingdom","Netherlands","Male","Physical Science (eg. math, physics, chemistry, computer science)","United Kingdom","2007","Senior academic researcher with >10 years of experience applying for research grants",12,"developed","10","0","70","90","20","10","Yes",1,1,1,NA,NA,"","Slightly negative","Some partnership","No partnership","Yes",NA,1,NA,1,NA,"","Neutral","0","16+","1-3","0","10-12","0","30","0","No need for applications for this research type","40","No need for applications for this research type","No need for applications for this research type","Very important","Quite important","Mandatory","Somewhat important","10","80","0","10","0",NA,NA,NA,NA,NA,"","","Decreased","Stayed the same","Increased","",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","","","","","High Income"
"Netherlands","Netherlands","Netherlands","Female","Social Science / Humanities","Netherlands","2004","Senior academic researcher with >10 years of experience applying for research grants",13,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","10-12","0","0","0","0","30","","","No need for applications for this research type","","","Somewhat important","","Quite important","","0","80","20","0","0",NA,NA,NA,NA,NA,"","","Decreased considerably","Increased","Increased considerably","",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","","","","","High Income"
"Netherlands","Canada","Netherlands","Female","Natural Science","Canada","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",14,"developed","0",NA,"20",NA,"80",NA,"No",NA,NA,NA,NA,NA,"","","Some partnership","No partnership","Yes",NA,NA,NA,1,NA,"","Slightly negative","0","10-12","16+","0","1-3","4-6","40","60","No need for applications for this research type","80","90","No need for applications for this research type","Very important","Somewhat important","Quite important","Not at all important","0","30","20","50","0",NA,NA,NA,NA,NA,"","","Decreased","Increased considerably","Increased considerably","",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","","","","As scientists, we need to do a better job of communicating the importance of fundamental research to the public and decision-makers. ","High Income"
"Netherlands","Brazil","Netherlands","Male","Natural Science","Brazil","2003","Senior academic researcher with >10 years of experience applying for research grants",15,"developing","10","0","60","90","30","10","Yes",NA,NA,1,NA,NA,"","Neutral","Some partnership","Some partnership","Yes",NA,NA,NA,1,NA,"","Neutral","1-3","7-9","1-3","0","7-9","1-3","50","No need for applications for this research type","No need for applications for this research type","70","No need for applications for this research type","No need for applications for this research type","Very important","Somewhat important","Somewhat important","Not at all important","80","20","0","0","0",NA,NA,NA,NA,NA,"","","Decreased","Can't comment","Increased","",NA,NA,1,NA,"Will decrease considerably","Can't comment","Will increase slightly","","","","Very nice survey :)","Higher Middle Income"
"","Australia","","Female","Medicine and Life Science","Australia","2005","Senior academic researcher with >10 years of experience applying for research grants",16,"developed","0","0","80","100","20","0","Yes",NA,NA,1,NA,NA,"","Slightly positive","Some partnership","No partnership","Yes",NA,NA,NA,1,1,"approached by the industry partner; very much encouraged (pressured!) by university","Slightly negative","0","10-12","1-3","0","1-3","0","30","50","","80","","","Quite important","Somewhat important","Not very important","Not very important","10","50","40","0","0","0","70","30","0","0","","","Decreased","Stayed the same","Increased","",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will stay the same","","","We have to change this question!! Use the same format as previous questions - decrease->increase in same slots as previous questions.","Robert just noted that Social Sciences distinguish between basic & applied but Humanities do not -> so might be best to split these?","High Income"
"South Africa","South Africa","South Africa","Male","Natural Science","South Africa","2003","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",17,"developing","10","10","30","40","60","50","Yes",1,NA,1,NA,NA,"","Very positive","Strong partnership","","No",NA,NA,NA,NA,NA,"","","1-3","4-6","7-9","0","1-3","4-6","20","80","80","20","80","","Very important","Very important","Quite important","Quite important","40","40","20","0","0","50","40","10","0","0","","","Stayed the same","Increased","Stayed the same","",1,1,NA,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly","","","","Higher Middle Income"
"Denmark","Japan","Denmark","Male","Medicine and Life Science","Japan","2000","Senior academic researcher with >10 years of experience applying for research grants",18,"developed","20","10","50","70","30","20","Yes",NA,1,NA,NA,NA,"","Slightly positive","Some partnership","Some partnership","Yes",NA,1,NA,NA,NA,"","Slightly positive","0","1-3","1-3","0","1-3","0","60","30","10","70","20","10","Quite important","Quite important","Quite important","Quite important","10","90","0","0","0",NA,NA,NA,NA,NA,"","","Stayed the same","Increased","Increased considerably","",1,NA,NA,NA,"Will stay the same","Will decrease slightly","Will increase slightly","Will increase slightly","","","","High Income"
"Morocco","Morocco","Morocco","Female","Interdisciplinary Science","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",19,"developing","30",NA,"50",NA,"20",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","Some partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","4-6","1-3","0","0","0","0","70","0","50","0","0","0","Quite important","Can't comment","Quite important","Can't comment","30","20","0","20","30",NA,NA,NA,NA,NA,"International government institution","","Can't comment","Can't comment","Can't comment","",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will increase slightly","","","","Lower Middle Income"
"Netherlands","United States","Netherlands","Female","Physical Science (eg. math, physics, chemistry, computer science)","United States","2015","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",20,"developed","60",NA,"0",NA,"40",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","1-3","0","1-3","0","0","0","No need for applications for this research type","","100","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Not very important","Can't comment","0","80","20","0","0",NA,NA,NA,NA,NA,"","","Can't comment","Can't comment","Can't comment","",NA,NA,NA,NA,"Can't comment","Can't comment","Can't comment","","","","","High Income"
"Netherlands","United Kingdom","Netherlands","Female","Social Science / Humanities","United Kingdom","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",21,"developed","30","0","0","40","70","60","Yes",NA,1,1,1,NA,"","Very negative","Some partnership","Some partnership","Yes",1,1,1,1,NA,"","Slightly positive","4-6","0","1-3","0","0","4-6","No need for applications for this research type","70","100","No need for applications for this research type","100","No need for applications for this research type","Mandatory","Mandatory","Quite important","Quite important","0","0","20","80","0","0","60","20","20","0","","","Can't comment","Stayed the same","Can't comment","",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","","I don't know how to answer this question...   PLEASE kindly keep what I say below CONFIDENTIAL as it makes me identifiable:  I was based in Australia for most of the past 10 years, but most of my research was focused in China, and then I moved to the UK. In China, my impression was there has been an increase in investment across all three types of research (in terms of fundamental research, the increase was in basic science, but not for humanity or social sciences). In Australia, there were rounds and rounds of cuts to university and research funding.  Many of my senior colleagues lost their jobs in the process. In the UK, my impression is that it is much easier to find funding for fundamental research in social sciences relative to Australia and China, but that is a cross-context impression.  I haven't looked into the history of UK research funding.","If the pots of money do not increase for fundamental research in the 3 countries I mentioned (for China, fundamental research in social science and humanity, and especially in humanity), we won't have a next generation of scholar in many interesting research area.","Thank you for investing effort into designing and conducting the survey! ","High Income"
"Netherlands","Netherlands","Netherlands","Other","Social Science / Humanities","Netherlands","2001","Senior academic researcher with >10 years of experience applying for research grants",22,"developed","30","0","40","100","30","0","Yes",NA,NA,1,NA,NA,"","Very positive","Some partnership","No partnership","Yes",NA,NA,NA,1,NA,"","Very positive","1-3","16+","1-3","0","4-6","4-6","40","10","50","70","30","","Mandatory","Very important","Quite important","Not very important","0","40","60","0","0","0","50","50","0","0","","","Decreased considerably","Increased considerably","Increased considerably","",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase slightly","Will stay the same","The Netherlands have defined 'top sectors' that received extra funding and at the same time decreased funding or blue sky research. The impact on the humanities has been crushing.","I do not think the country of work has a big impact. Researchers will continue to emigrate where there are jobs. There will be more jobs in more countries than the usual ones. In my country of origin there is no money and no jobs, flat. IN my country of adoption hirings are linked to grants but having a grant is not yet mandatory, but it is becoming an element of important priority in hiring decisions because my university is considering paying only teaching hours and let researchers find their own money for research outside regular appointments (i.e. outsource research to grant agencies)","There is just too little money for blue sky research (ie even the research time allowed in university positions is being reduced either in practice, by exploiting academics or forcing them to get grants to fund their own research). ","High Income"
"Netherlands","Netherlands","Netherlands","Female","Medicine and Life Science","Mauritius","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",23,"developed","30",NA,"60",NA,"10",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","1-3","1-3","0","0","0","0","60","0","10","","","","Mandatory","","Quite important","","0","90","0","10","0",NA,NA,NA,NA,NA,"","","Decreased","Increased","Increased considerably","",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease slightly","","","","High Income"
"Netherlands","Uruguay","Netherlands","Male","Other","Uruguay","2005","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",24,"developing","0","10","100","90","0","0","Yes",NA,NA,1,NA,NA,"","Neutral","No partnership","Some partnership","Yes",1,NA,NA,1,NA,"","Neutral","0","4-6","0","1-3","1-3","0","70","","","70","","100","Not at all important","Somewhat important","Not at all important","Not at all important","0","50","50","0","0","20","40","40","0","0","","","Decreased","","Increased","",NA,NA,1,NA,"Will decrease slightly","","Will stay the same","Will decrease slightly","","","Mathematics or Computer Science are not ""Phisical sciences"".","Higher Middle Income"
"Netherlands","Turkey","Netherlands","Male","Medicine and Life Science","Turkey","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",25,"developing","20",NA,"100",NA,"100",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","1-3","7-9","1-3","1-3","1-3","1-3","60","60","60","60","60","60","Mandatory","Mandatory","Not at all important","Not at all important","0","83.3333333333333","8.33333333333333","8.33333333333333","0",NA,NA,NA,NA,NA,"","","Can't comment","Can't comment","Can't comment","",NA,1,1,NA,"Will stay the same","Will increase considerably","Will increase considerably","Will decrease slightly","","","","Higher Middle Income"
"Netherlands","Australia","Netherlands","Male","Interdisciplinary Science","Australia","2011","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",26,"developed","30","20","40","40","30","40","Yes",NA,1,1,NA,NA,"","Neutral","Some partnership","Strong partnership","Yes",NA,1,NA,1,NA,"","Slightly negative","1-3","1-3","1-3","0","4-6","1-3","30","0","0","30","0","0","Somewhat important","Somewhat important","Somewhat important","Not very important","0","30","30","30","10",NA,NA,NA,NA,NA,"Crowdfunding","","Decreased","Stayed the same","Increased","",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease slightly","While I feel that funding for applied research has increased (both in rhetoric but also in key priority areas), I also feel that fundamental research has been slanted more strongly according to social and political values via hype and cultural trends.","","Something not captured in this survey (and difficult to capture across the board) is the way in which funding is biased by social, cultural and political objectives.","High Income"
"United Kingdom","Taiwan","United Kingdom","Male","Interdisciplinary Science","Taiwan","2002","Senior academic researcher with >10 years of experience applying for research grants",27,"developed","50","40","50","30","50","30","Yes",1,1,1,NA,NA,"","Very positive","No partnership","","No",NA,NA,NA,NA,NA,"","","10-12","1-3","10-12","16+","7-9","16+","30","30","40","40","30","20","Very important","Very important","Somewhat important","Somewhat important","0","50","50","0","0","0","100","0","0","0","","","Decreased","Increased","Increased","",NA,1,1,NA,"Will stay the same","Will decrease considerably","Will decrease slightly","Will decrease considerably","","","","High Income"
"California","United States","United States","Male","Physical Science (eg. math, physics, chemistry, computer science)","United States","1997","Senior academic researcher with >10 years of experience applying for research grants",28,"developed","20","10","40","80","40","10","Yes",NA,NA,1,NA,NA,"","Slightly positive","Strong partnership","Some partnership","Yes",NA,NA,NA,1,NA,"","Slightly negative","7-9","16+","16+","1-3","16+","4-6","10","20","30","10","20","10","Mandatory","Somewhat important","Somewhat important","Not very important","20","50","10","20","0","10","80","10","0","0","","","Decreased considerably","Stayed the same","Increased","",NA,1,NA,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will stay the same","","","","High Income"
"Netherlands","Netherlands","Netherlands","Female","Engineering","Indonesia","2013","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",29,"developed","50","20","60","50","40","30","Yes",NA,NA,1,NA,NA,"","Very positive","Some partnership","No partnership","Yes",NA,NA,NA,1,NA,"","Very positive","1-3","10-12","4-6","1-3","1-3","0","20","30","50","60","20","10","Very important","Very important","Quite important","Quite important","10","40","40","10","0",NA,NA,NA,NA,NA,"","","Decreased","Stayed the same","Increased","",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably","","","Fundamental research need advanced instruments in my desipline; so I is very hard for those from private univ or small Univ","High Income"
"","Morocco","","Female","Engineering","Morocco","I did not complete a PhD","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",30,"developing","50",NA,"10",NA,"40",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","No partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","4-6","0","0","0","0","0","No need for applications for this research type","No need for applications for this research type","20","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Quite important","Can't comment","0","40","40","0","20",NA,NA,NA,NA,NA,"Personnal funding ","","Can't comment","Can't comment","Can't comment","",NA,1,1,NA,"Will increase slightly","Will increase considerably","Will increase slightly","Will increase considerably","","","NTR","Lower Middle Income"
"Netherlands","Netherlands","Netherlands","Male","Social Science / Humanities","Netherlands","2009","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",31,"developed","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","1-3","0","0","1-3","0","50","No need for applications for this research type","No need for applications for this research type","100","No need for applications for this research type","No need for applications for this research type","Somewhat important","Not at all important","Somewhat important","Not at all important","0","100","0","0","0","0","100","0","0","0","","","Decreased considerably","Increased","Increased considerably","",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase slightly","Will stay the same","Funding was explicitly moved from universities to the applied sector and thematically tied to economic and societal valorisation. ","","","High Income"
"France","South Africa","France","Male","Physical Science (eg. math, physics, chemistry, computer science)","South Africa","2002","Senior academic researcher with >10 years of experience applying for research grants",32,"developing","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","0","0","10-12","0","30","No need for applications for this research type","No need for applications for this research type","0","No need for applications for this research type","No need for applications for this research type","Quite important","Quite important","Not very important","Not very important","0","80","20","0","0",NA,NA,NA,NA,NA,"","","Decreased considerably","Can't comment","Can't comment","",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease slightly","","","","Higher Middle Income"
"New Zealand","New Zealand","New Zealand","Male","Physical Science (eg. math, physics, chemistry, computer science)","New Zealand","1994","Senior academic researcher with >10 years of experience applying for research grants",33,"developed","20","0","70","80","10","20","Yes",NA,NA,NA,NA,1,"Serendipitous opportunity  - I was talking to someone over a glass of wine who had a commercial problem I thought I could solve.","Very positive","Some partnership","No partnership","Yes",NA,NA,NA,NA,1,"An opportunity","Very positive","1-3","7-9","1-3","0","7-9","1-3","30","100","","30","100","No need for applications for this research type","Can't comment","Can't comment","Can't comment","Can't comment","0","90","10","0","0","0","80","10","0","10","","Military","Decreased","Stayed the same","Stayed the same","",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same","","One has to be an optimist...","","High Income"
"","India","","Female","Natural Science","India","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",34,"developing","0",NA,"100",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","No",NA,NA,NA,NA,NA,"","","0","4-6","0","0","1-3","0","100","No need for applications for this research type","No need for applications for this research type","100","No need for applications for this research type","No need for applications for this research type","Not at all important","Not at all important","Not at all important","Not at all important","0","100","0","0","0","0","100","0","0","0","","","Decreased considerably","Stayed the same","Increased considerably","",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease slightly","","","Between 2010 and 2013 I received four grants from my government, based on which I have provided the answers. However, I would like to mention that two of these were actually awards, and hence not competitive grant proposals.","Lower Middle Income"
"France","France","France","Female","Interdisciplinary Science","France","1984","Senior academic researcher with >10 years of experience applying for research grants",35,"developed","0","0","50","100","50","0","Yes",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","No partnership","Yes",NA,NA,NA,1,NA,"","Slightly negative","0","7-9","1-3","0","1-3","0","0","100","No need for applications for this research type","30","No need for applications for this research type","No need for applications for this research type","Mandatory","Not at all important","Mandatory","Not very important","0","100","0","0","0","0","100","0","0","0","","","Decreased considerably","Increased considerably","Increased considerably","",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably","","","Governments (who are still the main fundings institutions) seem to think that research should ""pay"" immediately and, in Europe, this is true not only at the National level, but at the European level. The Horizon 20-20 program is entirely oriented toward ""societal"" goals (with one exception for one topic, which, however, seems to be mainly directed at mathematics and physics, leaving other domains stranded as far as fundamental research is concerned). While some European countries have tried to counterbalance this very negative drift, this is not the case in France where the national funding agency reproduces exactly the themes in Horizon 20-20. ","High Income"
"","Bangladesh","","Female","Engineering","Bangladesh","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",36,"developing","10","10","0","0","90","90","Yes",1,NA,NA,1,NA,"","Very positive","Some partnership","Some partnership","Yes",1,NA,1,1,NA,"","Very positive","1-3","1-3","1-3","0","1-3","0","0","10","90","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Can't comment","Can't comment","0","40","40","20","0",NA,NA,NA,NA,NA,"","","Can't comment","Can't comment","Can't comment","",NA,NA,NA,NA,"Can't comment","Can't comment","Can't comment","Will stay the same","","","The funding options are very limited in our country that is why was unable to answer many trends related answers","Low Income"
