"Country","Country_work","nation","gender","Location","what_participant_group","field_research","id","year","level"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",97,"practical_applications_important_11_15","Not at all important"
"Greece","Greece","Greece","Female","Greece","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",98,"practical_applications_important_11_15","Very important"
"Italy","Netherlands","Netherlands","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",99,"practical_applications_important_11_15","Mandatory"
"Germany","Germany","Germany","Male","Germany","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",100,"practical_applications_important_11_15","Can't comment"
"Cyprus","Cyprus","Cyprus","Female","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",101,"practical_applications_important_11_15","Mandatory"
"Hungary","Hungary","Hungary","Female","Hungary","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",102,"practical_applications_important_11_15","Somewhat important"
"Vietnam","Vietnam","Vietnam","Male","Vietnam","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",103,"practical_applications_important_11_15","Quite important"
"Japan","Japan","Japan","Male","Japan","Senior academic researcher with >10 years of experience applying for research grants","Engineering",104,"practical_applications_important_11_15","Mandatory"
"United Kingdom","United Kingdom","United Kingdom","Female","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",105,"practical_applications_important_11_15","Somewhat important"
"Italy","Italy","Italy","Male","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Interdisciplinary Science",106,"practical_applications_important_11_15","Mandatory"
"France","France","France","Female","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",107,"practical_applications_important_11_15","Mandatory"
"Italy","Italy","Italy","Female","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",108,"practical_applications_important_11_15","Can't comment"
"Norway","Norway","Norway","Female","Norway","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",109,"practical_applications_important_11_15","Quite important"
"Italy","Italy","Italy","Female","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",110,"practical_applications_important_11_15","Somewhat important"
"Canada","Canada","Canada","Female","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",111,"practical_applications_important_11_15","Can't comment"
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",112,"practical_applications_important_11_15","Very important"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Engineering",113,"practical_applications_important_11_15","Very important"
"Switzerland","Italy","Italy","Male","Switzerland","","Physical Science (eg. math, physics, chemistry, computer science)",115,"practical_applications_important_11_15","Mandatory"
"Finland","Spain","Spain","Male","Finland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",116,"practical_applications_important_11_15","Quite important"
"Spain","Canada","Canada","Male","Spain","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",117,"practical_applications_important_11_15","Very important"
"Italy","Italy","Italy","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",118,"practical_applications_important_11_15","Somewhat important"
"United Kingdom","Italy","Italy","Male","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",119,"practical_applications_important_11_15","Can't comment"
"United States","United States","United States","Female","Massachusetts","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",120,"practical_applications_important_11_15","Somewhat important"
"India","India","India","Male","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",121,"practical_applications_important_11_15","Quite important"
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",122,"practical_applications_important_11_15","Quite important"
"Italy","Italy","Italy","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",123,"practical_applications_important_11_15","Very important"
"Japan","","Japan","Male","Japan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",124,"practical_applications_important_11_15","Quite important"
"Italy","Italy","Italy","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",125,"practical_applications_important_11_15","Mandatory"
"France","France","France","Male","France","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",126,"practical_applications_important_11_15","Mandatory"
"France","France","France","Female","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",127,"practical_applications_important_11_15","Very important"
"","Nigeria","Nigeria","Male","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",128,"practical_applications_important_11_15","Not at all important"
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",129,"practical_applications_important_11_15","Very important"
"Italy","Italy","Italy","Female","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",130,"practical_applications_important_11_15","Somewhat important"
"Israel","Israel","Israel","Male","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",131,"practical_applications_important_11_15","Somewhat important"
"Israel","Israel","Israel","Female","Israel","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",132,"practical_applications_important_11_15","Somewhat important"
"United States","United States","United States","Male","California","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",133,"practical_applications_important_11_15","Mandatory"
"Italy","Italy","Italy","Female","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",134,"practical_applications_important_11_15","Not at all important"
"Egypt","Egypt","Egypt","Male","Egypt","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",135,"practical_applications_important_11_15","Very important"
"Italy","Italy","Italy","Female","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",136,"practical_applications_important_11_15","Mandatory"
"Israel","Israel","Israel","Female","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",137,"practical_applications_important_11_15","Somewhat important"
"Italy","Italy","Italy","Female","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",138,"practical_applications_important_11_15","Mandatory"
"United Kingdom","Canada","Canada","Female","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",139,"practical_applications_important_11_15","Somewhat important"
"Netherlands","Netherlands","Netherlands","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",140,"practical_applications_important_11_15","Mandatory"
"Malaysia","Malaysia","Malaysia","Male","Malaysia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",141,"practical_applications_important_11_15","Quite important"
"Israel","Israel","Israel","Male","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",142,"practical_applications_important_11_15","Can't comment"
"Israel","Israel","Israel","Male","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",143,"practical_applications_important_11_15","Not at all important"
"Spain","Spain","Spain","Male","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",144,"practical_applications_important_11_15","Very important"
"Israel","Israel","Israel","Female","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",145,"practical_applications_important_11_15","Not at all important"
"United Kingdom","United Kingdom","United Kingdom","Male","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",146,"practical_applications_important_11_15","Very important"
"United Kingdom","United Kingdom","United Kingdom","Female","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",147,"practical_applications_important_11_15","Mandatory"
"","Australia","Australia","Female","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",148,"practical_applications_important_11_15","Somewhat important"
"Canada","Canada","Canada","Female","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",149,"practical_applications_important_11_15","Very important"
"Australia","Australia","Australia","Male","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",150,"practical_applications_important_11_15","Somewhat important"
"United States","Italy","Italy","Male","Illinois","Senior academic researcher with >10 years of experience applying for research grants","Engineering",151,"practical_applications_important_11_15","Mandatory"
"Canada","Canada","Canada","Male","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",152,"practical_applications_important_11_15","Very important"
"Portugal","Portugal","Portugal","Male","Portugal","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",153,"practical_applications_important_11_15","Mandatory"
"Italy","Portugal","Portugal","Male","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",154,"practical_applications_important_11_15","Not at all important"
"United Kingdom","United Kingdom","United Kingdom","Male","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",155,"practical_applications_important_11_15","Mandatory"
"Israel","Israel","Israel","Female","Israel","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",156,"practical_applications_important_11_15","Can't comment"
"United States","United States","United States","Male","California","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",157,"practical_applications_important_11_15","Somewhat important"
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",158,"practical_applications_important_11_15","Mandatory"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",159,"practical_applications_important_11_15","Mandatory"
"United States","United States","United States","Female","Arizona","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",160,"practical_applications_important_11_15","Somewhat important"
"United States","United States","United States","Female","Wisconsin","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",161,"practical_applications_important_11_15","Can't comment"
"Portugal","Spain","Spain","Male","Portugal","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",162,"practical_applications_important_11_15","Very important"
"Belgium","Belgium","Belgium","Male","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",163,"practical_applications_important_11_15","Somewhat important"
"United States","United States","United States","Female","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",164,"practical_applications_important_11_15","Very important"
"Netherlands","United States","United States","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",165,"practical_applications_important_11_15","Somewhat important"
"","United States","United States","Female","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",166,"practical_applications_important_11_15","Somewhat important"
"Montenegro","Montenegro","Montenegro","Male","Montenegro","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science",167,"practical_applications_important_11_15","Quite important"
"United States","United States","United States","Male","Nevada","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",168,"practical_applications_important_11_15","Very important"
