Status,Location,what_participant_group,percent_fundemental_research_current,percent_Use_inspired_Research_current,percent_Applied_Research_current,changed_10yrs,percent_Fundamental_Research_past,percent_Use_inspired_Research_past,percent_Applied_Research_past,Main_reason_change_interest_related,Main_reason_change_Career_related,Main_reason_change_Funding_related,Main_reason_change_Socially_related,Main_reason_change_Other,Main_reason_change_Other_text,view_change_of_type,level_partnership_outside_academia,Level_partnership_outside_academia_change_10yrs,level_partnership_outside_academia_before_shift,Main_reason_level_partnership_change_Interest_related,Main_reason_level_partnership_change_Career_related,Main_reason_level_partnership_change_Socially_related,Main_reason_level_partnership_change_Funding_related,Main_reason_level_partnership_change_Other,Main_reason_level_partnership_change_Other_text,view_change_level_partnership_outside_academia,estimate_external_pi_grant_apps_2011_2015_Fundamental_Research,estimate_external_pi_grant_apps_2011_2015_Use-inspired_Research,estimate_external_pi_grant_apps_2011_2015_Applied_Research,estimate_external_pi_grant_apps_2006_2010_Fundamental_Research,estimate_external_pi_grant_apps_2006_2010_Use-inspired_Research,estimate_external_pi_grant_apps_2006_2010_Applied_Research,estimate_successful_grants_2011_2015_Fundamental_Research,estimate_successful_grants_2011_2015_Use-inspired_Research,estimate_successful_grants_2011_2015_Applied_Research,estimate_successful_grants_2006_2010_Fundamental_Research,estimate_successful_grants_2006_2010_Use-inspired_Research,estimate_successful_grants_2006_2010_Applied_Research,suggesting_practical_applications_important_to_grant_success_2011_2015,Main_reason_level_partnership_change_Other_text,based_your_grant_important_include_nonacademia_partners_success_2011_2015,based_your_grant_important_include_nonacademia_partners_success_2006_2010,estimate_distribution_funding_sources_2011_2015_Internal_Institutional,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Government,based_your_grant_important_include_nonacademia_partners_success_2011_2015_For_profit_sector,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Nongovernmental_sector,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Other,based_your_grant_important_include_nonacademia_partners_success_2011_2015_other_text,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Internal_Institutional,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Government,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Forprofit_sector,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Nongovernmental_sector,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Other,based_your_grant_important_include_nonacademia_partners_success_2006_2010_other_text,general_grant_success_change_10yrs_Fundamental_Research,general_grant_success_change_10yrs_Use_inspired_Research,general_grant_success_change_10yrs_Applied_Research,opinion_fundamental_important,high_priority_fundamental,high_priority_use_inspired,high_priority_applied,high_priority_no_change,high_priority_comments,available_funding_fundamental,available_funding_use_inspired,available_funding_applied,next_generation,next_generation_Comments,field_research,PhD_Year,Country_work,gender
Complete,British Columbia,Non-academic researcher conducting or managing research in industry or government with >10 years of experience,,,100%,Yes,,,70%,,,,1,,,,Some partnership,Yes,Strong partnership,,1,,,,,,3-Jan,6-Apr,9-Jul,9-Jul,6-Apr,3-Jan,20%,,0%,10%,,,Quite important,Quite important,Somewhat important,Not very important,,,,,,,,,,,,sedge,Decreased considerably,,Stayed the same,,1,1,,,,Will decrease slightly,Will decrease slightly,Will decrease slightly,,,Natural Science,1988,Barbados,Other
Incomplete,British Columbia,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,British Columbia,Non-academic researcher conducting or managing research in industry or government with >10 years of experience,100%,10%,70%,Can't comment (new researcher),100%,30%,50%,,,,1,,,,Some partnership,Yes,Exclusive partnership,,,,1,,,,9-Jul,6-Apr,3-Jan,3-Jan,6-Apr,9-Jul,10%,No need for applications for this research type,90%,40%,20%,0%,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Medicine and Life Science,1996,Bosnia and Herzegovina,Female
Incomplete,British Columbia,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,60%,20%,70%,Yes,90%,20%,0%,,,1,,,,,Strong partnership,Yes,No partnership,,,,1,,,,13-15,13-15,13-15,13-15,9-Jul,0,40%,40%,30%,0%,30%,50%,Very important,Somewhat important,Quite important,Not very important,,,,,,,,,,,,,Decreased,Stayed the same,Increased considerably,,,,1,,,Will increase considerably,Will increase considerably,Will increase considerably,,,Medicine and Life Science,2006,Brazil,Female
Incomplete,British Columbia,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,60%,30%,10%,Yes,90%,20%,0%,,,1,,,,Slightly positive,Some partnership,No,Some partnership,,,,1,,,Very positive,9-Jul,3-Jan,0,16+,6-Apr,0,30%,No need for applications for this research type,60%,0%,No need for applications for this research type,20%,Mandatory,Somewhat important,Quite important,Not very important,,,,,,,10%,New researcher (no funding in these years),0%,0%,0%,,Increased considerably,Stayed the same,Decreased considerably,,1,1,,,,Will increase considerably,Will increase slightly,Will increase slightly,,,Medicine and Life Science,2006,Canada,Female
Incomplete,British Columbia,Non-academic researcher conducting or managing research in industry or government with >10 years of experience,20%,0%,80%,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,British Columbia,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,100%,,,Yes,100%,,,,1,,,,,Slightly positive,Exclusive partnership,Yes,Some partnership,,1,,,,,,6-Apr,3-Jan,6-Apr,9-Jul,12-Oct,12-Oct,No need for applications for this research type,50%,10%,40%,No need for applications for this research type,No need for applications for this research type,Quite important,Quite important,Quite important,Quite important,,,,,,,,10%,,,,,,,Stayed the same,,,,1,,,,Will increase slightly,Will decrease slightly,,,Natural Science,2007,Antarctica,Female
Incomplete,British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,British Columbia,Non-academic researcher conducting or managing research in industry or government with >10 years of experience,10%,70%,20%,Can't comment (new researcher),,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,3-Jan,3-Jan,3-Jan,0,0,0,90%,80%,80%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Somewhat important,Not at all important,Not at all important,Not at all important,,,,,,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Increased,Stayed the same,,,1,1,,,Will stay the same,Will increase slightly,Will stay the same,,,Engineering,2016,Canada,Male
Incomplete,British Columbia,Non-academic researcher conducting or managing research in industry or government with <10 years of experience,20%,20%,30%,No,,,,,,,,,,,Some partnership,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Will increase slightly,,,,Medicine and Life Science,2005,,
Incomplete,British Columbia,,20%,20%,10%,Yes,50%,50%,20%,,,,,,,,Some partnership,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Netherlands,,20%,40%,40%,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Netherlands,Senior academic researcher with >10 years of experience applying for research grants,20%,40%,40%,Yes,30%,30%,40%,,,1,,,,Slightly positive,Some partnership,Yes,No partnership,1,,,,,,Slightly negative,3-Jan,3-Jan,0,0,3-Jan,3-Jan,20%,20%,30%,10%,10%,10%,Very important,Very important,Quite important,Quite important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Netherlands,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,40%,30%,30%,Yes,,,,,,,,,,,Strong partnership,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Netherlands,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Netherlands,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,0%,50%,50%,No,,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,0,3-Jan,0,0,0,0,No need for applications for this research type,100%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Very important,Can't comment,Somewhat important,Can't comment,50%,50%,0%,0%,0%,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Can't comment,Can't comment,Increased,,,1,1,,,Can't comment,Can't comment,Can't comment,,,Engineering,2013,Canada,Female
Complete,Netherlands,Senior academic researcher with >10 years of experience applying for research grants,70%,30%,,Yes,100%,0%,0%,1,,,1,,,Very positive,Some partnership,Yes,No partnership,1,,1,1,,,Very positive,6-Apr,3-Jan,0,3-Jan,0,0,50%,10%,No need for applications for this research type,50%,No need for applications for this research type,No need for applications for this research type,Very important,Somewhat important,Quite important,Somewhat important,50%,40%,10%,10%,0%,,50%,50%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Increased,Increased,,,1,1,,,Will stay the same,Will increase slightly,Will stay the same,,,Medicine and Life Science,2005,Russia,Male
Complete,Netherlands,Senior academic researcher with >10 years of experience applying for research grants,70%,20%,0%,Yes,80%,20%,,1,1,,,,,Very positive,No partnership,No,,,,,,,,,6-Apr,3-Jan,,6-Apr,,,80%,90%,,100%,,,Can't comment,Can't comment,Not at all important,Not at all important,,80%,20%,,,,,80%,,20%,,,Stayed the same,Increased considerably,,,,1,1,,,Can't comment,Can't comment,Can't comment,,,Social Science / Humanities,2005,Germany,Female
Complete,Netherlands,Senior academic researcher with >10 years of experience applying for research grants,70%,20%,10%,Yes,90%,10%,,1,1,1,,,,Slightly negative,Some partnership,Yes,No partnership,,1,,1,,,Neutral,16+,3-Jan,0,12-Oct,0,0,30%,0%,No need for applications for this research type,40%,No need for applications for this research type,No need for applications for this research type,Very important,Quite important,Mandatory,Somewhat important,0%,80%,10%,10%,0%,,10%,80%,New researcher (no funding in these years),10%,New researcher (no funding in these years),,Decreased,Stayed the same,Increased,,,1,1,,,Can't comment,Can't comment,Can't comment,,,"Physical Science (eg. math, physics, chemistry, computer science)",2007,United Kingdom,Male
Complete,Netherlands,Senior academic researcher with >10 years of experience applying for research grants,100%,0%,,No,,,,,,,,,,,No partnership,No,,,,,,,,,12-Oct,,,0,,,30%,,,No need for applications for this research type,,,Somewhat important,,Quite important,,20%,80%,,,,,100%,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Decreased considerably,Increased,Increased considerably,,,,1,,,Will decrease considerably,Will increase slightly,Will increase considerably,,,Social Science / Humanities,2004,Netherlands,Female
Complete,Netherlands,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,20%,80%,0%,No,,,,,,,,,,,Some partnership,Yes,No partnership,,,,1,,,Slightly negative,12-Oct,16+,0,3-Jan,6-Apr,0,40%,60%,No need for applications for this research type,80%,90%,No need for applications for this research type,Very important,Somewhat important,Quite important,Not at all important,20%,30%,0%,50%,0%,,New researcher (no funding in these years),30%,New researcher (no funding in these years),70%,New researcher (no funding in these years),,Decreased,Increased considerably,Increased considerably,,,,1,,,Will increase slightly,Will increase slightly,Will increase slightly,,,Natural Science,2007,Canada,Female
Complete,Netherlands,Senior academic researcher with >10 years of experience applying for research grants,60%,30%,10%,Yes,90%,10%,,,,1,,,,Neutral,Some partnership,Yes,Some partnership,,,,1,,,Neutral,9-Jul,3-Jan,3-Jan,9-Jul,3-Jan,0,50%,No need for applications for this research type,No need for applications for this research type,70%,No need for applications for this research type,No need for applications for this research type,Very important,Somewhat important,Somewhat important,Not at all important,0%,20%,80%,0%,0%,,New researcher (no funding in these years),20%,80%,New researcher (no funding in these years),New researcher (no funding in these years),,Decreased,Can't comment,Increased,,,,1,,,Will decrease considerably,Can't comment,Will increase slightly,,,Natural Science,2003,Brazil,Male
Incomplete,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,,Senior academic researcher with >10 years of experience applying for research grants,80%,20%,,Yes,100%,,,,,1,,,,Slightly positive,Some partnership,Yes,No partnership,,,,1,1,approached by the industry partner; very much encouraged (pressured!) by university,Slightly negative,12-Oct,3-Jan,,3-Jan,0,,30%,50%,,80%,,,Quite important,Somewhat important,Not very important,Not very important,40%,50%,10%,,,,30%,70%,,,,,Decreased,Stayed the same,Increased,,,1,1,,,Will decrease considerably,Will increase slightly,Will stay the same,,We have to change this question!! Use the same format as previous questions - decrease->increase in same slots as previous questions.,Medicine and Life Science,2005,Australia,Female
Incomplete,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,South Africa,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,30%,60%,10%,Yes,40%,50%,10%,1,,1,,,,Very positive,Strong partnership,No,,,,,,,,,6-Apr,9-Jul,3-Jan,3-Jan,6-Apr,0,20%,80%,80%,20%,80%,,Very important,Very important,Quite important,Quite important,20%,40%,40%,0%,,,10%,40%,50%,,,,Stayed the same,Increased,Stayed the same,,1,1,,,,Will stay the same,Will increase slightly,Will increase slightly,Will increase slightly,,Natural Science,2003,South Africa,Male
Complete,Denmark,Senior academic researcher with >10 years of experience applying for research grants,50%,30%,20%,Yes,70%,20%,10%,,1,,,,,Slightly positive,Some partnership,Yes,Some partnership,,1,,,,,Slightly positive,3-Jan,3-Jan,0,3-Jan,0,0,60%,30%,10%,70%,20%,10%,Quite important,Quite important,Quite important,Quite important,0%,90%,10%,0%,0%,,70%,20%,10%,New researcher (no funding in these years),New researcher (no funding in these years),,Stayed the same,Increased,Increased considerably,,1,,,,,Will stay the same,Will decrease slightly,Will increase slightly,Will increase slightly,,Medicine and Life Science,2000,Japan,Male
Incomplete,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Tunisia,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Netherlands,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",50%,0%,50%,Can't comment (new researcher),,,,,,,,,,,Strong partnership,Can't comment (new researcher),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Morocco,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",50%,20%,30%,Can't comment (new researcher),,,,,,,,,,,Some partnership,Can't comment (new researcher),,,,,,,,,3-Jan,0,6-Apr,0,0,0,70%,0%,50%,0%,0%,0%,Quite important,Can't comment,Quite important,Can't comment,0%,20%,30%,20%,30%,International government institution,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Can't comment,Can't comment,Can't comment,,,1,1,,,Will stay the same,Will increase slightly,Will increase considerably,Will increase slightly,,Interdisciplinary Science,,,Female
Complete,Netherlands,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",0%,40%,60%,No,,,,,,,,,,,No partnership,No,,,,,,,,,,3-Jan,3-Jan,0,0,0,No need for applications for this research type,,100%,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Very important,Can't comment,Not very important,Can't comment,20%,80%,0%,0%,0%,,New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),New researcher (no funding in these years),,Can't comment,Can't comment,Can't comment,,,,,,,Can't comment,Can't comment,Can't comment,,,"Physical Science (eg. math, physics, chemistry, computer science)",2015,United States,Female
Incomplete,Netherlands,Senior academic researcher with >10 years of experience applying for research grants,100%,0%,0%,No,,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,16+,,,12-Oct,,,70%,,,80%,,,Very important,Quite important,Quite important,Quite important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,Germany,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",40%,30%,20%,Can't comment (new researcher),,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,3-Jan,3-Jan,3-Jan,3-Jan,3-Jan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Netherlands,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,0%,70%,30%,Yes,40%,60%,,,1,1,1,,,Very negative,Some partnership,Yes,Some partnership,1,1,1,1,,,Slightly positive,,3-Jan,6-Apr,,6-Apr,,No need for applications for this research type,70%,100%,No need for applications for this research type,100%,No need for applications for this research type,Mandatory,Mandatory,Quite important,Quite important,20%,,,80%,,,20%,60%,,20%,,,Can't comment,Stayed the same,Can't comment,,,,,1,"I don't know how to answer this question...   PLEASE kindly keep what I say below CONFIDENTIAL as it makes me identifiable:  I was based in Australia for most of the past 10 years, but most of my research was focused in China, and then I moved to the UK. In China, my impression was there has been an increase in investment across all three types of research (in terms of fundamental research, the increase was in basic science, but not for humanity or social sciences). In Australia, there were rounds and rounds of cuts to university and research funding.  Many of my senior colleagues lost their jobs in the process. In the UK, my impression is that it is much easier to find funding for fundamental research in social sciences relative to Australia and China, but that is a cross-context impression.  I haven't looked into the history of UK research funding.",Can't comment,Can't comment,Can't comment,,"If the pots of money do not increase for fundamental research in the 3 countries I mentioned (for China, fundamental research in social science and humanity, and especially in humanity), we won't have a next generation of scholar in many interesting research area.",Social Science / Humanities,2008,United Kingdom,Female
Complete,Netherlands,Senior academic researcher with >10 years of experience applying for research grants,40%,30%,30%,Yes,100%,,,,,1,,,,Very positive,Some partnership,Yes,No partnership,,,,1,,,Very positive,16+,3-Jan,3-Jan,6-Apr,6-Apr,,40%,10%,50%,70%,30%,,Mandatory,Very important,Quite important,Not very important,60%,40%,,,,,50%,50%,,,,,Decreased considerably,Increased considerably,Increased considerably,,,1,1,,The Netherlands have defined 'top sectors' that received extra funding and at the same time decreased funding or blue sky research. The impact on the humanities has been crushing.,Will decrease considerably,Will increase slightly,Will increase slightly,Will stay the same,"I do not think the country of work has a big impact. Researchers will continue to emigrate where there are jobs. There will be more jobs in more countries than the usual ones. In my country of origin there is no money and no jobs, flat. IN my country of adoption hirings are linked to grants but having a grant is not yet mandatory, but it is becoming an element of important priority in hiring decisions because my university is considering paying only teaching hours and let researchers find their own money for research outside regular appointments (i.e. outsource research to grant agencies)",Social Science / Humanities,2001,Netherlands,Other
Complete,Netherlands,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,60%,10%,30%,No,,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,3-Jan,,3-Jan,0,0,0,60%,0%,10%,,,,Mandatory,,Quite important,,,90%,0%,10%,0%,,,,,,,,Decreased,Increased,Increased considerably,,,,1,,,Will decrease considerably,Will increase slightly,Will increase considerably,Will decrease slightly,,Medicine and Life Science,2008,Mauritius,Female
Complete,Netherlands,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,100%,,0%,Yes,90%,,10%,,,1,,,,Neutral,No partnership,Yes,Some partnership,1,,,1,,,Neutral,6-Apr,,,3-Jan,,3-Jan,70%,,,70%,,100%,Not at all important,Somewhat important,Not at all important,Not at all important,50%,50%,,,,,40%,40%,20%,,,,Decreased,,Increased,,,,1,,,Will decrease slightly,,Will stay the same,Will decrease slightly,,Other,2005,Uruguay,Male
