"Status","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","NA","Country"
"Complete","Quebec","","80%","20%","","Yes","100%","","",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","No","Some partnership",1,NA,NA,NA,NA,"","Neutral","9-Jul","6-Apr","3-Jan","9-Jul","3-Jan","","70%","80%","","80%","No need for applications for this research type","","Somewhat important","Not at all important","Mandatory","Not very important","0%","90%","","10%","","","","100%","","","","","Decreased considerably","Increased","Increased","Not at all important",NA,NA,1,NA,"I was hoping for a change. but 2016 is looking more of the same so far","Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly","I am really being optimistic here. ","Natural Science","2002","Canada","Female","Canada is still burdened with a resource extractive mentality from 10 years of a conservative government. The country needs to move beyond this. ","Canada"
"Complete","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","3-Jan","0","0","100%","No need for applications for this research type","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","Not at all important","Not at all important","Not at all important","Not at all important","0%","100%","0%","0%","0%","","10%","80%","0%","10%","0%","","Decreased considerably","Can't comment","Can't comment","Not very important",NA,1,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same","I don't think people's decisions will be directly influenced by the funding.","Physical Science (eg. math, physics, chemistry, computer science)","2005","Canada","Male","","Canada"
"Complete","Alberta","Senior academic researcher with > 10 years of experience applying for research grants","80%","20%","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","Strong partnership",1,NA,NA,1,NA,"","Neutral","6-Apr","3-Jan","","6-Apr","6-Apr","","90%","80%","","90%","80%","","Somewhat important","Very important","Not very important","Not very important","40%","40%","","20%","","","","60%","30%","10%","","","Decreased","Stayed the same","Can't comment","Somewhat important",NA,NA,1,NA,"","Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly","","Natural Science","1981","Canada","Male","","Canada"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","0%","40%","60%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly negative","0","3-Jan","6-Apr","0","0","3-Jan","No need for applications for this research type","10%","20%","No need for applications for this research type","0%","0%","Somewhat important","Very important","Not very important","Quite important","10%","30%","10%","50%","","","10%","40%","0%","50%","","","Decreased considerably","Decreased","Increased considerably","Very important",NA,NA,1,NA,"More importantly, overall grant success has gone drastically down. I am ""mid-career"" so I do not benefit from early career incentives, (when I was early career, there were fewer incentives), and I am not established enough to ""weather the storm"" of atrocious grant success rates. The Prostate Cancer Canada Panel I sat on the past 3 years has seen success rates go from 28% to 11% to 4%. NSERC and CIHR are horrid too. I have been ranked as ""excellent"" and still not been funded since only the top category of ""outstanding"" is funded. Most of this is based on publication record, but I can't get publications without funding!","Will decrease considerably","Will decrease considerably","Will decrease slightly","Will decrease considerably","I cannot ethically advise most graduate students to pursue a career in academic science as there are basically no jobs. When 2 faculty retire in our department, only one is hired back so that we can save enough for inflation and keep the department afloat.","Medicine and Life Science","2005","Canada","Male","","Canada"
"Complete","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","60%","10%","30%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","6-Apr","3-Jan","6-Apr","6-Apr","3-Jan","6-Apr","20%","40%","60%","20%","50%","70%","Very important","Very important","Somewhat important","Somewhat important","10%","20%","70%","","","","New researcher (no funding in these years)","20%","80%","","","","Stayed the same","Stayed the same","Increased","Very important",NA,NA,NA,1,"","Will stay the same","Will stay the same","Will increase considerably","Will increase slightly","","Engineering","","Canada","Male","","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly positive","12-Oct","3-Jan","","9-Jul","3-Jan","","70%","50%","","80%","50%","","Not at all important","Not at all important","Not at all important","Not at all important","","","","","","Sorry I want to help but I just don't have time today to figure out these percentages and make them add up to 100","","","","","","Sorry I want to help but I just don't have time today to figure out these percentages and make them add up to 100","Can't comment","Can't comment","Can't comment","Somewhat important",NA,NA,1,NA,"","Will decrease slightly","Will increase slightly","Will increase slightly","Can't comment","I have the strong impression that the next generation of young researchers already prefer to pursue use-inspired research or applied research, and are much less interested in fundamental research than previous generations. Although I don't do much use-inspired or applied research, I think overall this change among young researchers is probably a good thing: it conforms to the funding trends in my country, and it might lead to important beneficial discoveries in areas related to water conservation, renewable energy, climate change, food production, pollution abatement, species extinctions, and other important areas of use-inspired or applied research that generally don't benefit much from fundamental research programs.","Natural Science","","","Male","","Canada"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","20%","20%","60%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","6-Apr","3-Jan","0","0","0","100%","0%","0%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Can't comment","Can't comment","30%","70%","","","","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased considerably","Decreased considerably","Not at all important",NA,NA,NA,1,"","Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease considerably","","Medicine and Life Science","2010","Canada","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","10%","30%","60%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","9-Jul","12-Oct","0","3-Jan","6-Apr","0%","10%","10%","0%","10%","10%","Mandatory","Very important","Quite important","Quite important","10%","60%","30%","0%","0%","","20%","50%","30%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased","Decreased","Not very important",NA,NA,1,NA,"","Will stay the same","Will increase slightly","Will increase slightly","Will decrease considerably","","Medicine and Life Science","1999","Canada","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","80%","20%","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","","","6-Apr","","","50%","","","50%","","","Not at all important","Not at all important","Can't comment","Can't comment","","100%","","","","","","100%","","","","","Stayed the same","Stayed the same","Stayed the same","Somewhat important",NA,NA,NA,1,"","Will stay the same","Will stay the same","Will stay the same","Will stay the same","","Natural Science","2002","Canada","Male","","Canada"
"Complete","Alberta","Senior academic researcher with > 10 years of experience applying for research grants","80%","20%","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","3-Jan","","6-Apr","3-Jan","","50%","60%","","50%","60%","","Quite important","Quite important","Quite important","Quite important","","80%","20%","","","","10%","70%","20%","","","","Decreased","Stayed the same","Stayed the same","Very important",NA,1,1,NA,"","Will increase slightly","Will stay the same","Will stay the same","Will stay the same","","Natural Science","1992","Canada","Female","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","60%","30%","10%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","90%","60%","40%","90%","40%","40%","Very important","Very important","Somewhat important","Somewhat important","10%","70%","10%","10%","","","10%","80%","0%","10%","","","Decreased","Stayed the same","Increased","Very important",NA,1,1,NA,"","Will stay the same","Will stay the same","Will increase slightly","Will decrease slightly","","Natural Science","1992","Canada","Male","","Canada"
"Complete","Newfoundland and Labrador","Senior academic researcher with > 10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","3-Jan","0","0","100%","No need for applications for this research type","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","Mandatory","Not at all important","Quite important","Not at all important","0%","100%","0%","0%","0%","","New researcher (no funding in these years)","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Increased","Increased considerably","Very important",NA,NA,1,NA,"","Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease considerably","","Medicine and Life Science","1997","Canada","Female","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","30%","","70%","Yes","50%","","50%",NA,NA,1,NA,NA,"","Very negative","Strong partnership","Yes","Some partnership",NA,1,NA,1,NA,"","Very positive","3-Jan","","9-Jul","3-Jan","","16+","100%","","90%","100%","","80%","Mandatory","Quite important","Mandatory","Quite important","20%","60%","20%","","","","20%","70%","10%","","","","Decreased considerably","","Increased considerably","Not very important",NA,NA,1,NA,"","Will increase slightly","","Will stay the same","Will increase slightly","","Natural Science","1981","Canada","Male","There will have to be a considerable increases in funding for fundamental research to offset the damage did by the previous Conservative government and to ensure that there is a future for fundamental research in Canada ","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","90%","0%","10%","Yes","100%","0%","0%",1,NA,NA,NA,NA,"","Very positive","Some partnership","Yes","Some partnership",1,NA,NA,NA,NA,"","Very positive","16+","0","3-Jan","16+","0","0","20%","No need for applications for this research type","0%","40%","No need for applications for this research type","No need for applications for this research type","Not at all important","Somewhat important","Can't comment","Can't comment","10%","70%","0%","20%","","","10%","80%","New researcher (no funding in these years)","10%","","","Decreased","Can't comment","Can't comment","Somewhat important",NA,NA,1,NA,"Extreme increase of emphasis on translational research until last year, on expense of fundamental research. This will hopefully  be reversed with the change in government","Will increase slightly","Will stay the same","Will stay the same","Will stay the same","","Medicine and Life Science","1997","Canada","Female","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","80%","","20%","Yes","90%","","10%",1,NA,1,NA,NA,"","Slightly positive","Some partnership","No","",NA,NA,NA,NA,NA,"","","9-Jul","","3-Jan","9-Jul","","3-Jan","20%","","70%","20%","","70%","Quite important","Somewhat important","Quite important","","80%","","20%","","","","80%","","20%","","","","Decreased","","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will decrease slightly","","Will increase slightly","Will decrease slightly","","Medicine and Life Science","1997","Canada","Male","","Canada"
"Complete","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","50%","0%","50%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","","3-Jan","0","0","0","100%","","100%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Mandatory","Can't comment","Mandatory","Can't comment","10%","20%","","70%","","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","Somewhat important",NA,1,NA,NA,"","Will increase slightly","Will stay the same","Will increase slightly","Can't comment","","Natural Science","2013","Canada","Female","","Canada"
"Complete","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","90%","10%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","3-Jan","0","6-Apr","3-Jan","0","80%","100%","No need for applications for this research type","100%","100%","No need for applications for this research type","Somewhat important","Somewhat important","Not very important","Not very important","20%","80%","0%","0%","0%","","10%","90%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Stayed the same","Increased considerably","Increased considerably","Somewhat important",NA,1,1,NA,"","Will increase slightly","Will stay the same","Will stay the same","Will decrease considerably","","Natural Science","2004","Canada","Male","","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","20%","70%","10%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly negative","3-Jan","6-Apr","3-Jan","3-Jan","6-Apr","6-Apr","40%","60%","70%","70%","80%","100%","Quite important","Very important","Quite important","Somewhat important","80%","","20%","","","","10%","60%","10%","20%","","","Decreased considerably","Decreased","Increased considerably","Very important",NA,1,1,NA,"","Will increase slightly","Will stay the same","Will decrease slightly","Will decrease slightly","","Medicine and Life Science","1980","Canada","Male","I am disheartened by the effects of political ideology on governmental support for scientific research over the last ten years. ","Canada"
"Complete","","Senior academic researcher with > 10 years of experience applying for research grants","70%","30%","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","","3-Jan","3-Jan","","100%","0%","","100%","0%","","Somewhat important","Somewhat important","Can't comment","Can't comment","10%","90%","","","","","10%","90%","","","","","Decreased","Can't comment","Can't comment","Somewhat important",NA,NA,NA,NA,"","Will increase slightly","Can't comment","Can't comment","Can't comment","","Natural Science","2004","Canada","Male","",""
"Complete","Alberta","Senior academic researcher with > 10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","13-15","","","6-Apr","","","50%","No need for applications for this research type","No need for applications for this research type","80%","No need for applications for this research type","No need for applications for this research type","Somewhat important","Somewhat important","Not very important","Not very important","0%","90%","0%","10%","0%","","10%","90%","","","","","Decreased","Can't comment","Can't comment","Very important",NA,NA,1,NA,"","Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly","With tighter funding and lower levels of funding, fewer will pursue research.","Natural Science","2000","Canada","Female","","Canada"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","0","0","0","0","0","80%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Not very important","Can't comment","10%","90%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Can't comment","Somewhat important",NA,NA,1,NA,"","Will stay the same","Can't comment","Can't comment","Will increase considerably","","Medicine and Life Science","2002","Canada","Male","","Canada"
"Complete","Manitoba","Senior academic researcher with > 10 years of experience applying for research grants","90%","","10%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","","3-Jan","","","100%","","","70%","","","Very important","Very important","Not very important","Not very important","10%","90%","","","","","","100%","","","","","Decreased considerably","Can't comment","Increased considerably","Not at all important",NA,NA,1,NA,"","Will stay the same","Can't comment","Will stay the same","Will stay the same","","Natural Science","2002","Canada","Male","","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","30%","70%","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","6-Apr","","6-Apr","9-Jul","","80%","60%","","80%","60%","","Very important","Very important","Somewhat important","Somewhat important","10%","40%","","50%","","","20%","60%","","20%","","","Decreased","Increased","Increased","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly","","Natural Science","1991","Canada","Male","","Canada"
"Complete","Ontario","Non-academic researcher conducting or managing research in industry or government with > 10 years of experience","0%","20%","80%","Yes","50%","50%","",NA,NA,1,1,NA,"","Very negative","Strong partnership","Yes","Some partnership",NA,NA,1,1,NA,"","Very negative","0","0","6-Apr","3-Jan","3-Jan","0","No need for applications for this research type","No need for applications for this research type","70%","40%","30%","No need for applications for this research type","Very important","Somewhat important","Quite important","Not very important","0%","60%","40%","","0%","","","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased","Increased","Very important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will decrease slightly","Will increase slightly","","Physical Science (eg. math, physics, chemistry, computer science)","1999","Canada","Male","","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","40%","40%","20%","Yes","50%","40%","10%",1,NA,1,NA,NA,"","Neutral","Some partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly positive","3-Jan","6-Apr","9-Jul","3-Jan","6-Apr","3-Jan","80%","50%","100%","80%","50%","100%","Mandatory","Quite important","Mandatory","Somewhat important","","60%","20%","20%","","","","80%","10%","10%","","","Stayed the same","Decreased","Stayed the same","Very important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will stay the same","Will stay the same","","Physical Science (eg. math, physics, chemistry, computer science)","1999","Canada","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","0","0","6-Apr","0","0","30%","No need for applications for this research type","No need for applications for this research type","80%","No need for applications for this research type","No need for applications for this research type","Very important","Not at all important","Quite important","Not at all important","0%","100%","0%","0%","0%","","0%","100%","0%","0%","0%","","Decreased considerably","Increased considerably","Increased considerably","Not very important",NA,1,1,NA,"","Will decrease considerably","Will increase slightly","Will increase slightly","Will decrease considerably","","Medicine and Life Science","1996","Canada","Male","Basic research in Canada has never been worse than it is now. 18 years into my researcher career, I am not regretting my life choices ","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","13-15","0","0","6-Apr","0","0","40%","No need for applications for this research type","No need for applications for this research type","20%","No need for applications for this research type","No need for applications for this research type","Somewhat important","Somewhat important","Somewhat important","Somewhat important","20%","80%","0%","0%","0%","","10%","90%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Can't comment","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Can't comment","Will increase considerably","Will stay the same","","Natural Science","2000","Canada","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","3-Jan","0","0","100%","No need for applications for this research type","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","Not at all important","Not at all important","Not at all important","Not at all important","0%","100%","0%","0%","0%","","New researcher (no funding in these years)","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Increased","Can't comment","Can't comment","Very important",NA,NA,1,NA,"","Will decrease slightly","Can't comment","Will increase considerably","Will decrease slightly","","Natural Science","1989","Canada","Male","","Canada"
"Complete","Alberta","Senior academic researcher with > 10 years of experience applying for research grants","90%","","10%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","3-Jan","","0","90%","No need for applications for this research type","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","Not at all important","Not at all important","Can't comment","Can't comment","20%","80%","0%","0%","0%","","30%","70%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Increased","Stayed the same","Not very important",NA,1,NA,NA,"","Will stay the same","Will stay the same","Will increase slightly","Will decrease slightly","","Physical Science (eg. math, physics, chemistry, computer science)","1982","Canada","Male","","Canada"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","90%","10%","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","0","0","0","100%","No need for applications for this research type","No need for applications for this research type","","","","Somewhat important","Can't comment","Not at all important","Can't comment","30%","20%","0%","50%","","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","Somewhat important",NA,1,1,NA,"","Can't comment","Can't comment","Can't comment","Can't comment","","Natural Science","2007","Canada","Female","","Canada"
"Complete","Alberta","Senior academic researcher with > 10 years of experience applying for research grants","50%","","50%","Yes","80%","","20%",1,NA,1,NA,NA,"","Slightly negative","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","3-Jan","3-Jan","","0","100%","No need for applications for this research type","0%","100%","No need for applications for this research type","No need for applications for this research type","Very important","Somewhat important","Somewhat important","Not very important","20%","80%","0%","0%","0%","","20%","80%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Can't comment","Increased","Can't comment",NA,NA,1,NA,"","Will increase slightly","Will decrease slightly","Will increase considerably","Will stay the same","","Physical Science (eg. math, physics, chemistry, computer science)","2003","Canada","Female","","Canada"
"Complete","Nova Scotia","Senior academic researcher with > 10 years of experience applying for research grants","80%","","","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","9-Jul","","3-Jan","6-Apr","","100%","80%","","100%","80%","","Very important","Somewhat important","Quite important","Somewhat important","0%","100%","","","","","","100%","","","","","Decreased","Increased","Can't comment","Very important",1,NA,1,NA,"I would have answered these questions very differently before the last federal election in Canada. I am optimistic that ongoing support for fundamental research will be much improved with this change in government.","Will increase slightly","Will increase slightly","Will stay the same","Will stay the same","I am not sure it will increase the number, but it may shift the focus. Perhaps researchers that moved into more applied areas of research to survive when funding for fundamental research was low, may shift their research focus.","Natural Science","1987","Canada","Female"," I am so pleased you are taking advantage of the opportunity provided by this review to provide input from the broader community.","Canada"
"Complete","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","60%","","40%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","0","0","0","0","0","0","0%","0%","0%","0%","0%","0%","Can't comment","Can't comment","Can't comment","Can't comment","0%","100%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","Please note, all funding is through my supervisor so I have speculated here to the best of my knowledge.","Decreased considerably","Can't comment","Increased considerably","Not at all important",NA,NA,1,NA,"My comments on this page apply to the years of the Stephen Harper Federal Government of Canada.","Will increase slightly","Will increase slightly","Will stay the same","Will increase slightly","I am hopeful that under the new Trudeau government that all new professors will be afforded the opportunity to maintain at least a minimal level of research. Years ago, this was always the case but has decreased in recent time such that only the strongest, most experience researchers have received grants. This has the effect of muscling out the younger researchers before they are even given the chance to get started.","Physical Science (eg. math, physics, chemistry, computer science)","2014","Canada","Male","It has become all too commonplace in many fields that governments ignore the funding of basic research. Recent focus it seems has turned to funding only those research projects that have immediate application to society or industry. Although this funding philosophy leads to immediate turnover of new research products, the lack of funding toward fundamental research means that researchers must continue to use outdated or inefficient tools or research techniques in realizing the new product. If fundamental research could be supported along with the expectation of producing outcomes with applications, then researchers might improve those tools used to achieve the application product and thereby improve the outcome of the product. ","Canada"
"Complete","Manitoba","Senior academic researcher with > 10 years of experience applying for research grants","60%","40%","0%","Yes","90%","10%","0%",1,NA,1,1,NA,"","Very positive","No partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Neutral","9-Jul","3-Jan","0","6-Apr","6-Apr","0","50%","0%","No need for applications for this research type","50%","50%","No need for applications for this research type","Very important","Very important","Quite important","Quite important","10%","90%","","","","","","80%","","20%","","","Decreased","Stayed the same","Can't comment","Very important",NA,NA,1,NA,"","Will stay the same","Will stay the same","Can't comment","Can't comment","","Physical Science (eg. math, physics, chemistry, computer science)","1996","","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","70%","20%","10%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","3-Jan","3-Jan","6-Apr","3-Jan","0","80%","100%","0%","80%","No need for applications for this research type","No need for applications for this research type","Very important","Quite important","Quite important","Somewhat important","10%","80%","10%","0%","","","40%","60%","0%","0%","","","Decreased","Increased considerably","Increased considerably","Somewhat important",NA,1,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will decrease slightly","","Physical Science (eg. math, physics, chemistry, computer science)","2001","Canada","Female","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","","","6-Apr","","","50%","No need for applications for this research type","No need for applications for this research type","50%","No need for applications for this research type","No need for applications for this research type","Somewhat important","Somewhat important","Somewhat important","Somewhat important","10%","90%","0%","0%","0%","","New researcher (no funding in these years)","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will increase slightly","","Will increase considerably","Will decrease slightly","","Natural Science","1986","Canada","Female","I have been disappointed to see new funding for research being funneled into applied research programs that require partnerships with private companies or even govt ministries.  In some cases, existing funding for fundamental research has also been siphoned off to support new programs for applied research.  The application of my work to medical or other practical problems is not immediately obvious, and so I rely on funding for fundamental research.  One of my projects, not done with applied research in mind, turned out to be important for a particular type of applied research.  I doubt anyone would have thought to do the project with only that application in mind.  This is just one of many similar stories that researchers have to show the importance of fundamental research to the advancement of scientific knowledge. I am cautiously optimistic that the new liberal govt does appreciate the value of this work and will act to maintain strong funding support for it.","Canada"
"Complete","Alberta","Senior academic researcher with > 10 years of experience applying for research grants","80%","","20%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","9-Jul","","","6-Apr","","","80%","","","60%","","","Very important","Somewhat important","Somewhat important","Somewhat important","100%","","","","","","100%","","","","","","Decreased","Stayed the same","Stayed the same","Somewhat important",NA,1,NA,NA,"","Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly","","Natural Science","1980","Canada","Male","The uncertainty of future funding and job prospects makes it increasingly difficult to convince high quality students to invest the decade needed to become primary researchers in their own right","Canada"
