"Country","Country_work","nation","gender","Location","what_participant_group","field_research","practical_applications_important_11_15","practical_applications_important_6_10","id"
"Switzerland","Switzerland","Switzerland","Male","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Somewhat important","Can't comment",37
"Poland","Poland","Poland","Female","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Somewhat important","Somewhat important",38
"Turkey","Turkey","Turkey","Female","Turkey","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Somewhat important","Somewhat important",39
"Spain","South Africa","South Africa","Male","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Very important","Can't comment",40
"","Ghana","Ghana","Male","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Somewhat important",41
"Norway","Germany","Germany","Male","Norway","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Somewhat important",42
"South Africa","South Africa","South Africa","Female","South Africa","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Quite important","Somewhat important",43
"Portugal","Portugal","Portugal","Male","Portugal","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Very important",44
"Malaysia","Malaysia","Malaysia","Female","Malaysia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Mandatory",45
"United States","United States","United States","Male","Illinois","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Very important","",46
"","Australia","Australia","Female","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Very important","Very important",47
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","Can't comment","Can't comment",48
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",49
"Italy","Italy","Italy","Male","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Very important","Can't comment",50
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Somewhat important","Not at all important",51
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Quite important",52
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Somewhat important",53
"Italy","Italy","Italy","Female","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","Very important","Can't comment",54
"United Kingdom","United Kingdom","United Kingdom","Female","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",55
"Italy","Italy","Italy","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Quite important","Quite important",56
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Quite important","Somewhat important",57
"Netherlands","Netherlands","Netherlands","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Mandatory","Somewhat important",58
"Italy","Italy","Italy","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",59
"Netherlands","Netherlands","Netherlands","Female","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Quite important","Very important",60
"Italy","Italy","Italy","Male","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Somewhat important",61
"Italy","Italy","Italy","Male","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Somewhat important","Not at all important",62
"Italy","Italy","Italy","Male","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Somewhat important",63
"United Kingdom","United Kingdom","United Kingdom","Female","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Very important","Somewhat important",64
"Italy","Netherlands","Netherlands","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Quite important","Somewhat important",65
"United Kingdom","United Kingdom","United Kingdom","Male","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Not at all important",66
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Somewhat important",67
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Quite important","Can't comment",68
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Very important",69
"Belgium","Belgium","Belgium","Female","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Very important","Quite important",70
"Belgium","Netherlands","Netherlands","Male","Belgium","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Very important","Not at all important",71
"Norway","Norway","Norway","Male","Norway","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Mandatory",72
"Germany","United States","United States","Male","Germany","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Not at all important","Not at all important",73
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Mandatory","Quite important",74
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Quite important",75
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","Not at all important",76
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","Mandatory",77
"Italy","Italy","Italy","Female","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Not at all important",78
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Very important","Very important",79
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Very important","Very important",80
"Finland","Finland","Finland","Female","Finland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Quite important","Quite important",81
"United Kingdom","United Kingdom","United Kingdom","Male","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Quite important","Somewhat important",82
"Belgium","Belgium","Belgium","Male","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Not at all important","Not at all important",83
"United Kingdom","United Kingdom","United Kingdom","Female","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Can't comment","Can't comment",84
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","Not at all important",85
"Netherlands","Netherlands","Netherlands","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Quite important","Can't comment",86
"Netherlands","","Netherlands","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Mandatory","Mandatory",87
"France","France","France","Male","France","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",88
"Italy","Italy","Italy","Female","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Can't comment",89
"Italy","Italy","Italy","Female","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Quite important","Quite important",90
"Israel","Israel","Israel","Male","Israel","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Somewhat important","Somewhat important",91
"Argentina","France","France","Male","Argentina","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Can't comment",92
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Somewhat important",93
"United Kingdom","United Kingdom","United Kingdom","Male","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Somewhat important",94
"Canada","Canada","Canada","Female","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Can't comment","Can't comment",95
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Somewhat important",96
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Not at all important","Not at all important",97
"Greece","Greece","Greece","Female","Greece","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Very important","Somewhat important",98
"Italy","Netherlands","Netherlands","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Mandatory","Quite important",99
"Germany","Germany","Germany","Male","Germany","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Can't comment","Can't comment",100
"Cyprus","Cyprus","Cyprus","Female","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Mandatory","Mandatory",101
"Hungary","Hungary","Hungary","Female","Hungary","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Somewhat important","Can't comment",102
"Vietnam","Vietnam","Vietnam","Male","Vietnam","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",103
"Japan","Japan","Japan","Male","Japan","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Mandatory","Mandatory",104
"United Kingdom","United Kingdom","United Kingdom","Female","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Somewhat important","Can't comment",105
"Italy","Italy","Italy","Male","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Interdisciplinary Science","Mandatory","Quite important",106
"France","France","France","Female","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Mandatory","Can't comment",107
"Italy","Italy","Italy","Female","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Can't comment","Can't comment",108
"Norway","Norway","Norway","Female","Norway","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Quite important","Quite important",109
"Italy","Italy","Italy","Female","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Somewhat important","Quite important",110
"Canada","Canada","Canada","Female","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Can't comment","Can't comment",111
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Very important","Quite important",112
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Very important","Very important",113
"Spain","Spain","Spain","Female","Spain","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","","",114
"Switzerland","Italy","Italy","Male","Switzerland","","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Very important",115
"Finland","Spain","Spain","Male","Finland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Quite important","Can't comment",116
"Spain","Canada","Canada","Male","Spain","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Very important","Quite important",117
"Italy","Italy","Italy","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Somewhat important","Somewhat important",118
"United Kingdom","Italy","Italy","Male","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","Can't comment","Can't comment",119
"United States","United States","United States","Female","Massachusetts","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Somewhat important","Can't comment",120
"India","India","India","Male","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Quite important","Quite important",121
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Quite important","Somewhat important",122
"Italy","Italy","Italy","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Very important",123
"Japan","","Japan","Male","Japan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Quite important","Can't comment",124
"Italy","Italy","Italy","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Mandatory","Quite important",125
"France","France","France","Male","France","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Mandatory","Can't comment",126
"France","France","France","Female","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Very important",127
"","Nigeria","Nigeria","Male","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Not at all important","Not at all important",128
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Very important",129
"Italy","Italy","Italy","Female","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","",130
"Israel","Israel","Israel","Male","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Somewhat important","Somewhat important",131
"Israel","Israel","Israel","Female","Israel","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Somewhat important",132
"United States","United States","United States","Male","California","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Quite important",133
"Italy","Italy","Italy","Female","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Not at all important","Not at all important",134
"Egypt","Egypt","Egypt","Male","Egypt","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Quite important",135
"Italy","Italy","Italy","Female","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","Quite important",136
"Israel","Israel","Israel","Female","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Somewhat important","Somewhat important",137
"Italy","Italy","Italy","Female","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","Mandatory","Can't comment",138
"United Kingdom","Canada","Canada","Female","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Somewhat important","Somewhat important",139
"Netherlands","Netherlands","Netherlands","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Mandatory","",140
"Malaysia","Malaysia","Malaysia","Male","Malaysia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Quite important","Quite important",141
"Israel","Israel","Israel","Male","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Can't comment","Can't comment",142
"Israel","Israel","Israel","Male","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","Not at all important",143
"Spain","Spain","Spain","Male","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Very important","Very important",144
"Israel","Israel","Israel","Female","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Not at all important","Not at all important",145
"United Kingdom","United Kingdom","United Kingdom","Male","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Quite important",146
"United Kingdom","United Kingdom","United Kingdom","Female","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","Mandatory","",147
"","Australia","Australia","Female","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Somewhat important","Somewhat important",148
"Canada","Canada","Canada","Female","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Very important","Mandatory",149
"Australia","Australia","Australia","Male","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Somewhat important",150
"United States","Italy","Italy","Male","Illinois","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Mandatory","Very important",151
"Canada","Canada","Canada","Male","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Can't comment",152
"Portugal","Portugal","Portugal","Male","Portugal","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Mandatory","Quite important",153
"Italy","Portugal","Portugal","Male","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","Not at all important","Not at all important",154
"United Kingdom","United Kingdom","United Kingdom","Male","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Quite important",155
"Israel","Israel","Israel","Female","Israel","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Can't comment","Can't comment",156
"United States","United States","United States","Male","California","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Somewhat important","Can't comment",157
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Mandatory","Somewhat important",158
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Very important",159
"United States","United States","United States","Female","Arizona","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Not at all important",160
"United States","United States","United States","Female","Wisconsin","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Can't comment","Somewhat important",161
"Portugal","Spain","Spain","Male","Portugal","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Very important","Quite important",162
"Belgium","Belgium","Belgium","Male","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Somewhat important","Somewhat important",163
"United States","United States","United States","Female","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Very important",164
"Netherlands","United States","United States","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Somewhat important",165
"","United States","United States","Female","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Somewhat important",166
"Montenegro","Montenegro","Montenegro","Male","Montenegro","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","Quite important","Somewhat important",167
"United States","United States","United States","Male","Nevada","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Very important","Very important",168
"Australia","Australia","Australia","Male","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Not at all important","Can't comment",169
"Australia","Australia","Australia","Male","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Not at all important",170
"United States","United States","United States","Male","Illinois","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Can't comment","Can't comment",171
"United States","United States","United States","Male","New York","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Somewhat important","Somewhat important",172
"Australia","Australia","Australia","Female","Australia","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Very important","Very important",173
"China","China","China","Male","China","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Quite important","Can't comment",174
"Israel","Israel","Israel","Male","Israel","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Quite important","Quite important",175
"","United States","United States","Male","","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Can't comment","Can't comment",176
"Australia","Australia","Australia","Female","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Very important","Can't comment",177
"Australia","Australia","Australia","Male","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Somewhat important","Can't comment",178
"Australia","Australia","Australia","Male","Australia","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Somewhat important","Not at all important",179
"Australia","Australia","Australia","Male","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Quite important","Can't comment",180
"Australia","Australia","Australia","Male","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Mandatory","Can't comment",181
"","Australia","Australia","Female","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Not at all important",182
"United Kingdom","United Kingdom","United Kingdom","Male","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Mandatory","Somewhat important",183
"Singapore","Singapore","Singapore","Male","Singapore","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Not at all important","Can't comment",184
