"Country","Country_work","gender","nation","Location","what_participant_group","field_research","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","id"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","1-3","1-3","0","0","67"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","1-3","0","0","0","0","0","68"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","0","1-3","0","0","0","1-3","69"
"Belgium","Belgium","Female","Belgium","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","4-6","0","0","1-3","0","0","70"
"Belgium","Netherlands","Male","Netherlands","Belgium","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","4-6","0","0","4-6","0","0","71"
"Norway","Norway","Male","Norway","Norway","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","1-3","0","4-6","1-3","0","72"
"Germany","United States","Male","United States","Germany","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","1-3","0","0","1-3","0","0","73"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","0","1-3","4-6","0","0","1-3","74"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","10-12","1-3","10-12","7-9","0","1-3","75"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","1-3","1-3","1-3","0","1-3","76"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","7-9","0","7-9","1-3","0","1-3","77"
"Italy","Italy","Female","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","1-3","0","0","0","78"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","4-6","0","0","4-6","0","0","79"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Engineering","0","4-6","1-3","0","4-6","1-3","80"
"Finland","Finland","Female","Finland","Finland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","4-6","4-6","1-3","1-3","1-3","1-3","81"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","4-6","0","0","0","0","0","82"
"Belgium","Belgium","Male","Belgium","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","1-3","0","0","1-3","0","0","83"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","1-3","0","0","0","0","0","84"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","85"
"Netherlands","Netherlands","Female","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","4-6","7-9","1-3","0","0","0","86"
"Netherlands","","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","1-3","1-3","1-3","1-3","1-3","1-3","87"
"France","France","Male","France","France","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","1-3","0","1-3","0","0","88"
"Italy","Italy","Female","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","0","0","0","89"
"Italy","Italy","Female","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","1-3","4-6","0","0","1-3","0","90"
"Israel","Israel","Male","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","13-15","1-3","0","7-9","0","0","91"
"Argentina","France","Male","France","Argentina","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","1-3","1-3","0","0","0","0","92"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","1-3","0","4-6","1-3","0","93"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","1-3","0","0","94"
"Canada","Canada","Female","Canada","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","1-3","0","0","0","0","0","95"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","4-6","1-3","1-3","1-3","0","96"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","10-12","0","0","7-9","1-3","0","97"
"Greece","Greece","Female","Greece","Greece","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","1-3","1-3","0","1-3","0","0","98"
"Italy","Netherlands","Male","Netherlands","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","4-6","1-3","1-3","1-3","1-3","0","99"
"Germany","Germany","Male","Germany","Germany","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","1-3","1-3","0","1-3","1-3","0","100"
"Cyprus","Cyprus","Female","Cyprus","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","1-3","0","0","0","1-3","0","101"
"Hungary","Hungary","Female","Hungary","Hungary","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","4-6","0","0","0","0","0","102"
"Vietnam","Vietnam","Male","Vietnam","Vietnam","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","1-3","0","0","103"
"Japan","Japan","Male","Japan","Japan","Senior academic researcher with >10 years of experience applying for research grants","Engineering","1-3","0","0","1-3","0","0","104"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","1-3","0","0","0","0","0","105"
"Italy","Italy","Male","Italy","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Interdisciplinary Science","7-9","1-3","1-3","4-6","0","0","106"
"France","France","Female","France","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","1-3","0","0","0","0","0","107"
"Italy","Italy","Female","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","1-3","0","0","108"
"Norway","Norway","Female","Norway","Norway","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","13-15","1-3","0","1-3","1-3","0","109"
"Italy","Italy","Female","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","1-3","0","0","4-6","0","0","110"
"Canada","Canada","Female","Canada","Alberta","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","1-3","0","0","0","0","0","111"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","1-3","13-15","4-6","1-3","10-12","0","112"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Engineering","1-3","1-3","4-6","1-3","1-3","4-6","113"
"Spain","Spain","Female","Spain","Spain","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","0","0","0","0","0","0","114"
"Switzerland","Italy","Male","Italy","Switzerland","","Physical Science (eg. math, physics, chemistry, computer science)","1-3","1-3","0","1-3","1-3","0","115"
"Finland","Spain","Male","Spain","Finland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","1-3","1-3","0","0","0","0","116"
"Spain","Canada","Male","Canada","Spain","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","0","16+","0","0","16+","0","117"
"Italy","Italy","Male","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","4-6","0","0","1-3","0","0","118"
"United Kingdom","Italy","Male","Italy","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","0","0","0","119"
"United States","United States","Female","United States","Massachusetts","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","13-15","4-6","0","1-3","0","0","120"
"India","India","Male","India","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","1-3","0","4-6","1-3","0","4-6","121"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","1-3","1-3","1-3","1-3","1-3","0","122"
"Italy","Italy","Male","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","0","4-6","0","0","4-6","0","123"
"Japan","","Male","Japan","Japan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","0","0","1-3","0","0","0","124"
"Italy","Italy","Male","Italy","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","0","1-3","1-3","1-3","1-3","0","125"
"France","France","Male","France","France","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","1-3","0","4-6","0","0","0","126"
"France","France","Female","France","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","10-12","0","0","1-3","0","0","127"
"","Nigeria","Male","Nigeria","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","0","0","0","0","1-3","1-3","128"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","0","4-6","0","0","4-6","0","129"
"Italy","Italy","Female","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","1-3","0","4-6","0","0","130"
"Israel","Israel","Male","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","1-3","4-6","0","1-3","131"
"Israel","Israel","Female","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","10-12","1-3","1-3","10-12","1-3","1-3","132"
"United States","United States","Male","United States","California","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","10-12","0","1-3","1-3","0","133"
"Italy","Italy","Female","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","7-9","0","0","4-6","0","0","134"
"Egypt","Egypt","Male","Egypt","Egypt","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","1-3","1-3","0","0","0","135"
"Italy","Italy","Female","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","0","0","1-3","1-3","0","1-3","136"
"Israel","Israel","Female","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","0","7-9","0","0","1-3","0","137"
"Italy","Italy","Female","Italy","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","4-6","0","1-3","1-3","0","1-3","138"
"United Kingdom","Canada","Female","Canada","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","4-6","1-3","1-3","1-3","1-3","1-3","139"
"Netherlands","Netherlands","Female","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","0","1-3","0","0","0","0","140"
"Malaysia","Malaysia","Male","Malaysia","Malaysia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","1-3","0","4-6","1-3","0","1-3","141"
"Israel","Israel","Male","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","1-3","1-3","0","1-3","1-3","0","142"
"Israel","Israel","Male","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","0","4-6","0","0","143"
"Spain","Spain","Male","Spain","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","1-3","0","1-3","1-3","0","0","144"
"Israel","Israel","Female","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","0","0","4-6","0","0","145"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","1-3","1-3","1-3","0","0","146"
"United Kingdom","United Kingdom","Female","United Kingdom","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","4-6","0","0","0","0","0","147"
"","Australia","Female","Australia","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","13-15","1-3","1-3","1-3","0","0","148"
"Canada","Canada","Female","Canada","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","1-3","1-3","4-6","0","1-3","7-9","149"
"Australia","Australia","Male","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","4-6","0","0","4-6","0","0","150"
"United States","Italy","Male","Italy","Illinois","Senior academic researcher with >10 years of experience applying for research grants","Engineering","1-3","0","4-6","1-3","0","4-6","151"
"Canada","Canada","Male","Canada","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","1-3","1-3","4-6","0","0","0","152"
"Portugal","Portugal","Male","Portugal","Portugal","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","7-9","1-3","0","1-3","0","0","153"
"Italy","Portugal","Male","Portugal","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","1-3","0","0","1-3","1-3","0","154"
"United Kingdom","United Kingdom","Male","United Kingdom","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","4-6","0","1-3","7-9","0","1-3","155"
"Israel","Israel","Female","Israel","Israel","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","1-3","1-3","0","1-3","1-3","0","156"
"United States","United States","Male","United States","California","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","1-3","0","1-3","0","0","0","157"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","1-3","0","1-3","1-3","0","0","158"
"Italy","Italy","Male","Italy","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","1-3","1-3","4-6","1-3","1-3","1-3","159"
"United States","United States","Female","United States","Arizona","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","7-9","7-9","0","4-6","0","0","160"
"United States","United States","Female","United States","Wisconsin","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","0","0","0","1-3","0","0","161"
"Portugal","Spain","Male","Spain","Portugal","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","1-3","0","1-3","1-3","0","0","162"
"Belgium","Belgium","Male","Belgium","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","1-3","0","0","1-3","0","0","163"
"United States","United States","Female","United States","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","1-3","4-6","7-9","1-3","1-3","1-3","164"
