"Location","Country_work","Country","nation"
"Ontario","Canada","Canada","Canada"
"Vermont","Canada","United States","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Mexico","Canada","Mexico","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","United States","","United States"
"Florida","Canada","United States","Canada"
"","Canada","","Canada"
"","Canada","","Canada"
"Australia","Canada","Australia","Canada"
"Ontario","Canada","Canada","Canada"
"Chile","Chile","Chile","Chile"
"Saskatchewan","Canada","Canada","Canada"
"","Canada","","Canada"
"Yukon Territory","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"","Canada","","Canada"
"Alberta","Canada","Canada","Canada"
"Prince Edward Island","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"","Canada","","Canada"
"British Columbia","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Argentina","Argentina","Argentina","Argentina"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Sweden","Canada","Sweden","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Japan","Canada","Japan","Canada"
"New Brunswick","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"New York","Canada","United States","Canada"
"","Canada","","Canada"
"United Kingdom","France","United Kingdom","France"
"","Canada","","Canada"
"","Canada","","Canada"
"","Canada","","Canada"
"","Canada","","Canada"
"British Columbia","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"New York","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"New Jersey","United States","United States","United States"
"Australia","Canada","Australia","Canada"
"Quebec","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Japan","Canada","Japan","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"British Columbia","Canada","Canada","Canada"
"","Canada","","Canada"
"India","Canada","India","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Illinois","Canada","United States","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"","Canada","","Canada"
"Alberta","Canada","Canada","Canada"
"","Canada","","Canada"
"British Columbia","Canada","Canada","Canada"
"Ethiopia","Canada","Ethiopia","Canada"
"","Canada","","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Italy","Canada","Italy","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Finland","Canada","Finland","Canada"
"New Brunswick","Canada","Canada","Canada"
"Serbia","Serbia","Serbia","Serbia"
"Greece","Canada","Greece","Canada"
"Switzerland","Canada","Switzerland","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"France","Canada","France","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"","Canada","","Canada"
"France","Canada","France","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"","Canada","","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Brazil","Canada","Brazil","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Uruguay","Uruguay","Uruguay","Uruguay"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Germany","Canada","Germany","Canada"
"Alberta","Canada","Canada","Canada"
"Netherlands","Canada","Netherlands","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Greece","Canada","Greece","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"United Kingdom","Canada","United Kingdom","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Brazil","Brazil","Brazil","Brazil"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Alberta","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"New Hampshire","Canada","United States","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Germany","","Germany","Germany"
"Germany","Canada","Germany","Canada"
"Spain","Canada","Spain","Canada"
"United Kingdom","Canada","United Kingdom","Canada"
"Germany","Canada","Germany","Canada"
"","Canada","","Canada"
"Italy","Canada","Italy","Canada"
"United Kingdom","Canada","United Kingdom","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Maine","Canada","United States","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Germany","Canada","Germany","Canada"
"Ontario","Canada","Canada","Canada"
"Switzerland","Canada","Switzerland","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"United Kingdom","Canada","United Kingdom","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"","Canada","","Canada"
"Spain","Canada","Spain","Canada"
"Nova Scotia","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Nunavut","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"France","Canada","France","Canada"
"New Brunswick","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"Chile","Chile","Chile","Chile"
"New Brunswick","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"","Canada","","Canada"
"Alberta","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Massachusetts","Canada","United States","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Poland","Canada","Poland","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"France","Canada","France","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Tanzania","Canada","Tanzania","Canada"
"Nova Scotia","Canada","Canada","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"France","Canada","France","Canada"
"New Brunswick","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Germany","Canada","Germany","Canada"
"Quebec","Canada","Canada","Canada"
"Italy","Canada","Italy","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"","","",""
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"California","Canada","United States","Canada"
"Quebec","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Austria","Canada","Austria"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"North Carolina","Canada","United States","Canada"
"Ontario","Canada","Canada","Canada"
"New Jersey","United States","United States","United States"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","","Canada","Canada"
"New Mexico","Canada","United States","Canada"
"New Brunswick","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Switzerland","Canada","Switzerland","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Germany","Canada","Germany","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Sweden","Sweden","Sweden","Sweden"
"Denmark","Canada","Denmark","Canada"
"France","Canada","France","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Nebraska","United States","United States","United States"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"California","United States","United States","United States"
"Nova Scotia","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Brazil","Brazil","Brazil","Brazil"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Greece","Canada","Greece","Canada"
"Manitoba","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"France","Canada","France","Canada"
"Alberta","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Denmark","Canada","Denmark","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Newfoundland and Labrador","Canada","Canada","Canada"
"","Canada","","Canada"
"","Canada","","Canada"
"Alberta","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"United Kingdom","Canada","United Kingdom","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"","Canada","","Canada"
"","Canada","","Canada"
"British Columbia","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Germany","Canada","Germany","Canada"
"Cameroon","Canada","Cameroon","Canada"
"Saskatchewan","Canada","Canada","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Netherlands","Canada","Netherlands","Canada"
"Quebec","Canada","Canada","Canada"
"","Canada","","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"Chile","Chile","Chile","Chile"
"New Brunswick","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"","Canada","","Canada"
"Australia","Australia","Australia","Australia"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Austria","Canada","Austria","Canada"
"France","Canada","France","Canada"
"Ontario","Canada","Canada","Canada"
"New York","Israel","United States","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Antarctica","Israel","Israel"
"","Israel","","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"New York","Israel","United States","Israel"
"","Canada","","Canada"
"Israel","Israel","Israel","Israel"
"Ontario","Canada","Canada","Canada"
"Switzerland","Israel","Switzerland","Israel"
"Israel","Israel","Israel","Israel"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Israel","","Israel"
"Quebec","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Texas","United States","United States","United States"
"Israel","Israel","Israel","Israel"
"","United States","","United States"
"Manitoba","Canada","Canada","Canada"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"","Canada","","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Israel","Israel","Israel","Israel"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Israel","","Israel","Israel"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Israel","Israel","Israel","Israel"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"","Canada","","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Prince Edward Island","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Israel","Israel","Israel","Israel"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Germany","Canada","Germany","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"","Canada","","Canada"
"Manitoba","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"","Canada","","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"United Kingdom","Canada","United Kingdom","Canada"
"Alberta","Estonia","Canada","Estonia"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"","Canada","","Canada"
"Alberta","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"","Canada","","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
