Use?,Location,nation,Country,gender,field_research,Country_work,PhD_Year,what_participant_group,id,class,percent_sum_current,percent_sum_previous,percent_applied_research_current,percent_applied_research_past,percent_fundamental_research_current,percent_fundamental_research_past,percent_use_inspired_research_current,percent_use_inspired_research_past,changed_10yrs,main_reason_change_interest_related,main_reason_change_career_related,main_reason_change_funding_related,main_reason_change_socially_related,main_reason_change_other,main_reason_replied,Main_reason_change_Other_text,view_change_of_type,partnership_outside_current,partnership_outside_before,partnership_change_10yrs,reason_partnership_change_interest,reason_partnership_change_career,reason_partnership_change_socially,reason_partnership_change_funding,reason_partnership_change_other,reason_partnership_change_other_text,view_change_partnership,external_pi_grant_11_15_applied,external_pi_grant_11_15_fundamental,external_pi_grant_11_15_use,external_pi_grant_6_10_applied,external_pi_grant_6_10_fundamental,external_pi_grant_6_10_use,successful_grants_11_15_fundamental,successful_grants_11_15_use,successful_grants_11_15_applied,successful_grants_6_10_fundamental,successful_grants_6_10_use,successful_grants_6_10_applied,practical_applications_important_11_15,practical_applications_important_6_10,include_nonacademia_partners_success_11_15,include_nonacademia_partners_success_6_10,distribution_funding_11_15_sum,distribution_funding_11_15_for_profit,distribution_funding_11_15_government,distribution_funding_11_15_internal,distribution_funding_11_15_nongov,distribution_funding_11_15_other,distribution_funding_6_10_sum,distribution_funding_6_10_for_profit,distribution_funding_6_10_government,distribution_funding_6_10_internal,distribution_funding_6_10_nongov,distribution_funding_6_10_other,distribution_funding_11_15_other_text,distribution_funding_6_10_other_text,success_change_10yrs_fundamental,success_change_10yrs_use,success_change_10yrs_applied,opinion_fundamental_important,high_priority_sum,high_priority_fundamental,high_priority_use_inspired,high_priority_applied,high_priority_no_change,high_priority_replied,available_funding_fundamental,available_funding_use_inspired,available_funding_applied,next_generation,high_priority_comments,next_generation_comments,final_comments,OCED_category
1,Netherlands,Canada,Netherlands,Female,Natural Science,Canada,2007,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,14,developed,100,NA,0,NA,20,NA,80,NA,No,NA,NA,NA,NA,NA,0,0,0,Some partnership,No partnership,Yes,NA,NA,NA,1,NA,0,Slightly negative,0,43809,16+,0,43525,43620,40,60,No need for applications for this research type,80,90,No need for applications for this research type,Very important,Somewhat important,Quite important,Not at all important,100,0,30,20,50,0,0,NA,NA,NA,NA,NA,0,0,Decreased,Increased considerably,Increased considerably,0,1,NA,NA,1,NA,1,Will increase slightly,Will increase slightly,Will increase slightly,0,0,0,"As scientists, we need to do a better job of communicating the importance of fundamental research to the public and decision-makers. ",High Income
1,Netherlands,Brazil,Netherlands,Male,Natural Science,Brazil,2003,Senior academic researcher with >10 years of experience applying for research grants,15,developing,100,100,10,0,60,90,30,10,Yes,NA,NA,1,NA,NA,1,0,Neutral,Some partnership,Some partnership,Yes,NA,NA,NA,1,NA,0,Neutral,43525,43715,43525,0,43715,43525,50,No need for applications for this research type,No need for applications for this research type,70,No need for applications for this research type,No need for applications for this research type,Very important,Somewhat important,Somewhat important,Not at all important,100,80,20,0,0,0,0,NA,NA,NA,NA,NA,0,0,Decreased,Can't comment,Increased,0,1,NA,NA,1,NA,1,Will decrease considerably,Can't comment,Will increase slightly,0,0,0,Very nice survey :),Higher Middle Income
1,0,Australia,0,Female,Medicine and Life Science,Australia,2005,Senior academic researcher with >10 years of experience applying for research grants,16,developed,100,100,0,0,80,100,20,0,Yes,NA,NA,1,NA,NA,1,0,Slightly positive,Some partnership,No partnership,Yes,NA,NA,NA,1,1,approached by the industry partner; very much encouraged (pressured!) by university,Slightly negative,0,43809,43525,0,43525,0,30,50,0,80,0,0,Quite important,Somewhat important,Not very important,Not very important,100,10,50,40,0,0,100,0,70,30,0,0,0,0,Decreased,Stayed the same,Increased,0,2,NA,1,1,NA,1,Will decrease considerably,Will increase slightly,Will stay the same,0,0,We have to change this question!! Use the same format as previous questions - decrease->increase in same slots as previous questions.,Robert just noted that Social Sciences distinguish between basic & applied but Humanities do not -> so might be best to split these?,High Income
1,South Africa,South Africa,South Africa,Male,Natural Science,South Africa,2003,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,17,developing,100,100,10,10,30,40,60,50,Yes,1,NA,1,NA,NA,1,0,Very positive,Strong partnership,0,No,NA,NA,NA,NA,NA,0,0,43525,43620,43715,0,43525,43620,20,80,80,20,80,0,Very important,Very important,Quite important,Quite important,100,40,40,20,0,0,100,50,40,10,0,0,0,0,Stayed the same,Increased,Stayed the same,0,2,1,1,NA,NA,1,Will stay the same,Will increase slightly,Will increase slightly,Will increase slightly,0,0,0,Higher Middle Income
1,Denmark,Japan,Denmark,Male,Medicine and Life Science,Japan,2000,Senior academic researcher with >10 years of experience applying for research grants,18,developed,100,100,20,10,50,70,30,20,Yes,NA,1,NA,NA,NA,1,0,Slightly positive,Some partnership,Some partnership,Yes,NA,1,NA,NA,NA,0,Slightly positive,0,43525,43525,0,43525,0,60,30,10,70,20,10,Quite important,Quite important,Quite important,Quite important,100,10,90,0,0,0,0,NA,NA,NA,NA,NA,0,0,Stayed the same,Increased,Increased considerably,0,1,1,NA,NA,NA,1,Will stay the same,Will decrease slightly,Will increase slightly,Will increase slightly,0,0,0,High Income
1,Morocco,Morocco,Morocco,Female,Interdisciplinary Science,0,0,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",19,developing,100,NA,30,NA,50,NA,20,NA,Can't comment (new researcher),NA,NA,NA,NA,NA,0,0,0,Some partnership,0,Can't comment (new researcher),NA,NA,NA,NA,NA,0,0,43620,43525,0,0,0,0,70,0,50,0,0,0,Quite important,Can't comment,Quite important,Can't comment,100,30,20,0,20,30,0,NA,NA,NA,NA,NA,International government institution,0,Can't comment,Can't comment,Can't comment,0,2,NA,1,1,NA,1,Will stay the same,Will increase slightly,Will increase considerably,Will increase slightly,0,0,0,Lower Middle Income
1,Netherlands,United States,Netherlands,Female,"Physical Science (eg. math, physics, chemistry, computer science)",United States,2015,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",20,developed,100,NA,60,NA,0,NA,40,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,43525,0,43525,0,0,0,No need for applications for this research type,0,100,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Very important,Can't comment,Not very important,Can't comment,100,0,80,20,0,0,0,NA,NA,NA,NA,NA,0,0,Can't comment,Can't comment,Can't comment,0,0,NA,NA,NA,NA,0,Can't comment,Can't comment,Can't comment,0,0,0,0,High Income
1,Netherlands,United Kingdom,Netherlands,Female,Social Science / Humanities,United Kingdom,2008,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,21,developed,100,100,30,0,0,40,70,60,Yes,NA,1,1,1,NA,1,0,Very negative,Some partnership,Some partnership,Yes,1,1,1,1,NA,0,Slightly positive,43620,0,43525,0,0,43620,No need for applications for this research type,70,100,No need for applications for this research type,100,No need for applications for this research type,Mandatory,Mandatory,Quite important,Quite important,100,0,0,20,80,0,100,0,60,20,20,0,0,0,Can't comment,Stayed the same,Can't comment,0,1,NA,NA,NA,1,1,Can't comment,Can't comment,Can't comment,0,"I don't know how to answer this question...   PLEASE kindly keep what I say below CONFIDENTIAL as it makes me identifiable:  I was based in Australia for most of the past 10 years, but most of my research was focused in China, and then I moved to the UK. In China, my impression was there has been an increase in investment across all three types of research (in terms of fundamental research, the increase was in basic science, but not for humanity or social sciences). In Australia, there were rounds and rounds of cuts to university and research funding.  Many of my senior colleagues lost their jobs in the process. In the UK, my impression is that it is much easier to find funding for fundamental research in social sciences relative to Australia and China, but that is a cross-context impression.  I haven't looked into the history of UK research funding.","If the pots of money do not increase for fundamental research in the 3 countries I mentioned (for China, fundamental research in social science and humanity, and especially in humanity), we won't have a next generation of scholar in many interesting research area.",Thank you for investing effort into designing and conducting the survey! ,High Income
1,Netherlands,Netherlands,Netherlands,Other,Social Science / Humanities,Netherlands,2001,Senior academic researcher with >10 years of experience applying for research grants,22,developed,100,100,30,0,40,100,30,0,Yes,NA,NA,1,NA,NA,1,0,Very positive,Some partnership,No partnership,Yes,NA,NA,NA,1,NA,0,Very positive,43525,16+,43525,0,43620,43620,40,10,50,70,30,0,Mandatory,Very important,Quite important,Not very important,100,0,40,60,0,0,100,0,50,50,0,0,0,0,Decreased considerably,Increased considerably,Increased considerably,0,2,NA,1,1,NA,1,Will decrease considerably,Will increase slightly,Will increase slightly,Will stay the same,The Netherlands have defined 'top sectors' that received extra funding and at the same time decreased funding or blue sky research. The impact on the humanities has been crushing.,"I do not think the country of work has a big impact. Researchers will continue to emigrate where there are jobs. There will be more jobs in more countries than the usual ones. In my country of origin there is no money and no jobs, flat. IN my country of adoption hirings are linked to grants but having a grant is not yet mandatory, but it is becoming an element of important priority in hiring decisions because my university is considering paying only teaching hours and let researchers find their own money for research outside regular appointments (i.e. outsource research to grant agencies)","There is just too little money for blue sky research (ie even the research time allowed in university positions is being reduced either in practice, by exploiting academics or forcing them to get grants to fund their own research). ",High Income
1,Netherlands,Netherlands,Netherlands,Female,Medicine and Life Science,Mauritius,2008,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,23,developed,100,NA,30,NA,60,NA,10,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,Can't comment (new researcher),NA,NA,NA,NA,NA,0,0,43525,43525,0,0,0,0,60,0,10,0,0,0,Mandatory,0,Quite important,0,100,0,90,0,10,0,0,NA,NA,NA,NA,NA,0,0,Decreased,Increased,Increased considerably,0,1,NA,NA,1,NA,1,Will decrease considerably,Will increase slightly,Will increase considerably,Will decrease slightly,0,0,0,High Income
1,Netherlands,Uruguay,Netherlands,Male,Other,Uruguay,2005,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,24,developing,100,100,0,10,100,90,0,0,Yes,NA,NA,1,NA,NA,1,0,Neutral,No partnership,Some partnership,Yes,1,NA,NA,1,NA,0,Neutral,0,43620,0,43525,43525,0,70,0,0,70,0,100,Not at all important,Somewhat important,Not at all important,Not at all important,100,0,50,50,0,0,100,20,40,40,0,0,0,0,Decreased,0,Increased,0,1,NA,NA,1,NA,1,Will decrease slightly,0,Will stay the same,Will decrease slightly,0,0,"Mathematics or Computer Science are not ""Phisical sciences"".",Higher Middle Income
1,Netherlands,Turkey,Netherlands,Male,Medicine and Life Science,Turkey,2006,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,25,developing,220,NA,NA,NA,NA,NA,NA,NA,Can't comment (new researcher),NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,43525,43715,43525,43525,43525,43525,60,60,60,60,60,60,Mandatory,Mandatory,Not at all important,Not at all important,100,0,83.33333333,8.333333333,8.333333333,0,0,NA,NA,NA,NA,NA,0,0,Can't comment,Can't comment,Can't comment,0,2,NA,1,1,NA,1,Will stay the same,Will increase considerably,Will increase considerably,Will decrease slightly,0,0,0,Higher Middle Income
1,Netherlands,Australia,Netherlands,Male,Interdisciplinary Science,Australia,2011,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",26,developed,100,100,30,20,40,40,30,40,Yes,NA,1,1,NA,NA,1,0,Neutral,Some partnership,Strong partnership,Yes,NA,1,NA,1,NA,0,Slightly negative,43525,43525,43525,0,43620,43525,30,0,0,30,0,0,Somewhat important,Somewhat important,Somewhat important,Not very important,100,0,30,30,30,10,0,NA,NA,NA,NA,NA,Crowdfunding,0,Decreased,Stayed the same,Increased,0,1,NA,NA,1,NA,1,Will decrease slightly,Will decrease slightly,Will stay the same,Will decrease slightly,"While I feel that funding for applied research has increased (both in rhetoric but also in key priority areas), I also feel that fundamental research has been slanted more strongly according to social and political values via hype and cultural trends.",0,"Something not captured in this survey (and difficult to capture across the board) is the way in which funding is biased by social, cultural and political objectives.",High Income
1,United Kingdom,Taiwan,United Kingdom,Male,Interdisciplinary Science,Taiwan,2002,Senior academic researcher with >10 years of experience applying for research grants,27,developed,150,100,NA,40,NA,30,NA,30,Yes,1,1,1,NA,NA,1,0,Very positive,No partnership,0,No,NA,NA,NA,NA,NA,0,0,43809,43525,43809,16+,43715,16+,30,30,40,40,30,20,Very important,Very important,Somewhat important,Somewhat important,100,0,50,50,0,0,100,0,100,0,0,0,0,0,Decreased,Increased,Increased,0,2,NA,1,1,NA,1,Will stay the same,Will decrease considerably,Will decrease slightly,Will decrease considerably,0,0,0,High Income
1,California,United States,United States,Male,"Physical Science (eg. math, physics, chemistry, computer science)",United States,1997,Senior academic researcher with >10 years of experience applying for research grants,28,developed,100,100,20,10,40,80,40,10,Yes,NA,NA,1,NA,NA,1,0,Slightly positive,Strong partnership,Some partnership,Yes,NA,NA,NA,1,NA,0,Slightly negative,43715,16+,16+,43525,16+,43620,10,20,30,10,20,10,Mandatory,Somewhat important,Somewhat important,Not very important,100,20,50,10,20,0,100,10,80,10,0,0,0,0,Decreased considerably,Stayed the same,Increased,0,1,NA,1,NA,NA,1,Will decrease slightly,Will increase slightly,Will increase slightly,Will stay the same,0,0,0,High Income
1,Netherlands,Netherlands,Netherlands,Female,Engineering,Indonesia,2013,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,29,developed,150,100,NA,20,NA,50,NA,30,Yes,NA,NA,1,NA,NA,1,0,Very positive,Some partnership,No partnership,Yes,NA,NA,NA,1,NA,0,Very positive,43525,43809,43620,43525,43525,0,20,30,50,60,20,10,Very important,Very important,Quite important,Quite important,100,10,40,40,10,0,0,NA,NA,NA,NA,NA,0,0,Decreased,Stayed the same,Increased,0,2,NA,1,1,NA,1,Will decrease slightly,Will increase slightly,Will increase slightly,Will decrease considerably,0,0,Fundamental research need advanced instruments in my desipline; so I is very hard for those from private univ or small Univ,High Income
1,0,Morocco,0,Female,Engineering,Morocco,I did not complete a PhD,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,30,developing,100,NA,50,NA,10,NA,40,NA,Can't comment (new researcher),NA,NA,NA,NA,NA,0,0,0,No partnership,0,Can't comment (new researcher),NA,NA,NA,NA,NA,0,0,43620,0,0,0,0,0,No need for applications for this research type,No need for applications for this research type,20,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Very important,Can't comment,Quite important,Can't comment,100,0,40,40,0,20,0,NA,NA,NA,NA,NA,Personnal funding ,0,Can't comment,Can't comment,Can't comment,0,2,NA,1,1,NA,1,Will increase slightly,Will increase considerably,Will increase slightly,Will increase considerably,0,0,NTR,Lower Middle Income
1,Netherlands,Netherlands,Netherlands,Male,Social Science / Humanities,Netherlands,2009,"Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future",31,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43525,0,0,43525,0,50,No need for applications for this research type,No need for applications for this research type,100,No need for applications for this research type,No need for applications for this research type,Somewhat important,Not at all important,Somewhat important,Not at all important,100,0,100,0,0,0,100,0,100,0,0,0,0,0,Decreased considerably,Increased,Increased considerably,0,1,NA,NA,1,NA,1,Will decrease slightly,Can't comment,Will increase slightly,Will stay the same,Funding was explicitly moved from universities to the applied sector and thematically tied to economic and societal valorisation. ,0,0,High Income
1,France,South Africa,France,Male,"Physical Science (eg. math, physics, chemistry, computer science)",South Africa,2002,Senior academic researcher with >10 years of experience applying for research grants,32,developing,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43620,0,0,43809,0,30,No need for applications for this research type,No need for applications for this research type,0,No need for applications for this research type,No need for applications for this research type,Quite important,Quite important,Not very important,Not very important,100,0,80,20,0,0,0,NA,NA,NA,NA,NA,0,0,Decreased considerably,Can't comment,Can't comment,0,2,NA,1,1,NA,1,Will decrease considerably,Will decrease slightly,Will decrease slightly,Will decrease slightly,0,0,0,Higher Middle Income
1,New Zealand,New Zealand,New Zealand,Male,"Physical Science (eg. math, physics, chemistry, computer science)",New Zealand,1994,Senior academic researcher with >10 years of experience applying for research grants,33,developed,100,100,20,0,70,80,10,20,Yes,NA,NA,NA,NA,1,1,Serendipitous opportunity  - I was talking to someone over a glass of wine who had a commercial problem I thought I could solve.,Very positive,Some partnership,No partnership,Yes,NA,NA,NA,NA,1,An opportunity,Very positive,43525,43715,43525,0,43715,43525,30,100,0,30,100,No need for applications for this research type,Can't comment,Can't comment,Can't comment,Can't comment,100,0,90,10,0,0,100,0,80,10,0,10,0,Military,Decreased,Stayed the same,Stayed the same,0,2,NA,1,1,NA,1,Will increase slightly,Will increase slightly,Will increase slightly,Will stay the same,0,One has to be an optimist...,0,High Income
1,0,India,0,Female,Natural Science,India,2008,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,34,developing,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43620,0,0,43525,0,100,No need for applications for this research type,No need for applications for this research type,100,No need for applications for this research type,No need for applications for this research type,Not at all important,Not at all important,Not at all important,Not at all important,100,0,100,0,0,0,100,0,100,0,0,0,0,0,Decreased considerably,Stayed the same,Increased considerably,0,1,NA,NA,1,NA,1,Will decrease considerably,Will increase slightly,Will increase considerably,Will decrease slightly,0,0,"Between 2010 and 2013 I received four grants from my government, based on which I have provided the answers. However, I would like to mention that two of these were actually awards, and hence not competitive grant proposals.",Lower Middle Income
1,France,France,France,Female,Interdisciplinary Science,France,1984,Senior academic researcher with >10 years of experience applying for research grants,35,developed,100,100,0,0,50,100,50,0,Yes,NA,NA,1,NA,NA,1,0,Slightly negative,Some partnership,No partnership,Yes,NA,NA,NA,1,NA,0,Slightly negative,0,43715,43525,0,43525,0,0,100,No need for applications for this research type,30,No need for applications for this research type,No need for applications for this research type,Mandatory,Not at all important,Mandatory,Not very important,100,0,100,0,0,0,100,0,100,0,0,0,0,0,Decreased considerably,Increased considerably,Increased considerably,0,2,NA,1,1,NA,1,Will decrease considerably,Will increase considerably,Will increase considerably,Will decrease considerably,0,0,"Governments (who are still the main fundings institutions) seem to think that research should ""pay"" immediately and, in Europe, this is true not only at the National level, but at the European level. The Horizon 20-20 program is entirely oriented toward ""societal"" goals (with one exception for one topic, which, however, seems to be mainly directed at mathematics and physics, leaving other domains stranded as far as fundamental research is concerned). While some European countries have tried to counterbalance this very negative drift, this is not the case in France where the national funding agency reproduces exactly the themes in Horizon 20-20. ",High Income
1,0,Bangladesh,0,Female,Engineering,Bangladesh,2010,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,36,developing,100,100,10,10,0,0,90,90,Yes,1,NA,NA,1,NA,1,0,Very positive,Some partnership,Some partnership,Yes,1,NA,1,1,NA,0,Very positive,43525,43525,43525,0,43525,0,0,10,90,No need for applications for this research type,No need for applications for this research type,No need for applications for this research type,Very important,Can't comment,Can't comment,Can't comment,100,0,40,40,20,0,0,NA,NA,NA,NA,NA,0,0,Can't comment,Can't comment,Can't comment,0,0,NA,NA,NA,NA,0,Can't comment,Can't comment,Can't comment,Will stay the same,0,0,The funding options are very limited in our country that is why was unable to answer many trends related answers,Low Income
