"Country","Country_work","gender","Location","what_participant_group","field_research","survey.incom","year","info","For-Profit","Government","Internal","Non-governmental","Other","total.funding"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",54,"11_15","keep",80,20,0,0,0,100
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",91,"11_15","keep",0,50,50,0,0,100
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",99,"11_15","keep",0,90,10,0,0,100
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","",110,"11_15","keep",10,80,10,0,0,100
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",112,"11_15","keep",0,20,0,80,0,100
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",115,"11_15","keep",5.55555555555556,5.55555555555556,27.7777777777778,27.7777777777778,33.3333333333333,180
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",140,"11_15","keep",0,60,40,0,0,100
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","",146,"11_15","keep",0,80,20,0,0,100
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",187,"11_15","keep",0,20,60,20,0,100
"Canada","","","Alberta","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",192,"11_15","keep",0,10,10,0,80,100
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","",216,"11_15","keep",0,50,50,0,0,100
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",224,"11_15","keep",20,20,30,20,0,90
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",267,"11_15","keep",0,0,100,0,0,100
"Canada","Canada","Male","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",312,"11_15","keep",0,80,20,0,0,100
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",383,"11_15","keep",0,70,20,10,0,100
"USA","","","Florida","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",400,"11_15","keep",0,50,50,0,0,100
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","",408,"11_15","keep",0,90,10,0,0,100
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","",431,"11_15","keep",0,0,10,0,0,10
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",433,"11_15","keep",20,70,10,0,0,100
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","",440,"11_15","keep",0,70,30,0,0,100
"Canada","","","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",476,"11_15","keep",0,80,20,0,0,100
"Canada","Canada","Male","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Engineering",479,"11_15","keep",20,60,20,0,0,100
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",503,"11_15","keep",0,100,0,0,0,100
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","",519,"11_15","keep",0,50,30,20,0,100
"Canada","Canada","Male","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",532,"11_15","keep",0,100,0,0,0,100
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",561,"11_15","keep",20,80,0,0,0,100
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","",562,"11_15","keep",10,80,10,0,0,100
"Israel","","Male","Israel","","Interdisciplinary Science",574,"11_15","keep",0,0,100,0,0,100
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","",586,"11_15","keep",0,100,0,0,0,100
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",589,"11_15","keep",0,20,80,0,0,100
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","",597,"11_15","keep",0,90,10,0,0,100
"USA","","","Minnesota","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",620,"11_15","keep",0,30,70,0,0,100
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",660,"11_15","keep",30,0,70,0,0,100
"Pakistan","","","Pakistan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",708,"11_15","keep",0,0,100,0,0,100
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",825,"11_15","keep",20,60,20,0,0,100
"Europe","","","Europe","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",845,"11_15","keep",0,0,30,0,70,100
"","","","","","",885,"11_15","keep",0,0,0,0,40,40
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",898,"11_15","keep",0,0,100,0,0,100
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","",928,"11_15","keep",0,20,80,0,0,100
"Israel","Israel","","Israel","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Other",929,"11_15","keep",0,0,0,0,0,0
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",940,"11_15","keep",0,0,100,0,0,100
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","",962,"11_15","keep",0,80,20,0,0,100
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",981,"11_15","keep",0,100,0,0,0,100
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",998,"11_15","keep",0,90,0,10,0,100
"Argentina","","","Argentina","Senior academic researcher with >10 years of experience applying for research grants","",1019,"11_15","keep",0,100,0,0,0,100
"Indonesia","","","Indonesia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",1063,"11_15","keep",50,30,20,0,0,100
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","",1074,"11_15","keep",0,80,20,0,0,100
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","",1075,"11_15","keep",20,0,80,0,0,100
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",1080,"11_15","keep",0,20,80,0,0,100
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",1096,"11_15","keep",0,50,50,0,0,100
