"Country","Country_work","gender","Location","what_participant_group","field_research","type","percent"
"Romania","","","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","0"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","80"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","20"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","10"
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","60"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","100"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","successful_grants_11_15_fundamental","100"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","0"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","0"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","10"
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","40"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","30"
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","0"
"Germany","","","Germany","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","30"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","10"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","70"
"Canada","","","Alberta","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","successful_grants_11_15_fundamental","10"
"Chile","","","Chile","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","60"
"Serbia","","","Serbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","50"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","30"
"Poland","","","Poland","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","60"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","100"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","10"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","100"
"USA","","","Florida","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","80"
"Spain","","","Spain","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","0"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","80"
"Spain","","","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","30"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","0"
"Brazil","","","Brazil","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","90"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","70"
"Canada","Canada","Male","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","successful_grants_11_15_fundamental","80"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","40"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","50"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","60"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","30"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","20"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","40"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","70"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","50"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","20"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","40"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","20"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","50"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","successful_grants_11_15_fundamental","80"
"Russian Federation","","","Russian Federation","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","0"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","90"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","0"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","100"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","30"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","90"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","50"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","0"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","100"
"Canada","","","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","100"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","0"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","20"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","10"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","70"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","100"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","0"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","70"
"United Kingdom","","","United Kingdom","","","successful_grants_11_15_fundamental","90"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","50"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","100"
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","30"
"Canada","","","Ontario","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_fundamental","50"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","20"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","50"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","50"
"Israel","","","Israel","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_fundamental","0"
"Israel","","","Israel","","","successful_grants_11_15_fundamental","100"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","70"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","30"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","0"
"Canada","","","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","100"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","50"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","50"
"Canada","","","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","100"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","100"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","20"
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","20"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","70"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","50"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","30"
"Switzerland","","","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","80"
"USA","","","Minnesota","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","20"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","100"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","100"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","90"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","60"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","50"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","0"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","20"
"Pakistan","","","Pakistan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","20"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","50"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","10"
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","20"
"USA","","","Alabama","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","0"
"USA","","","California","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","100"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","20"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","40"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","30"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","0"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","0"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","successful_grants_11_15_fundamental","0"
"Europe","","","Europe","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_fundamental","100"
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","100"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","40"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","80"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","40"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","0"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","100"
"Japan","","","Japan","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","30"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","20"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","0"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","30"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","20"
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_fundamental","0"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","80"
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","10"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","0"
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","10"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","30"
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","30"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","40"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","70"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","50"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","30"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","20"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","20"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","10"
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","0"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","40"
"Brazil","","","Brazil","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","30"
"Argentina","","","Argentina","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","70"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","30"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","20"
"Malta","","","Malta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","0"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","0"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","100"
"Indonesia","","","Indonesia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","100"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","0"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","50"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","30"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","20"
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","0"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","30"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","70"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","0"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","90"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","successful_grants_11_15_use","40"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","20"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","30"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","successful_grants_11_15_use","30"
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","0"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_use","0"
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","20"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","0"
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","30"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"Romania","","","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","100"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","50"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","40"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","50"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","successful_grants_11_15_use","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","10"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","0"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","10"
"France","","","France","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","20"
"Germany","","","Germany","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","0"
"Serbia","","","Serbia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","50"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","20"
"Chile","","","Chile","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","20"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","10"
"Poland","","","Poland","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","60"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","10"
"USA","","","Florida","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","10"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","100"
"Spain","","","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","70"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","50"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","50"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","60"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","50"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","10"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","50"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","successful_grants_11_15_use","60"
"Russian Federation","","","Russian Federation","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","0"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","10"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","60"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","40"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","60"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","successful_grants_11_15_use","70"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","20"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","20"
"Romania","","","Romania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","100"
"United Kingdom","","","United Kingdom","","","successful_grants_11_15_use","100"
"Israel","","","Israel","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_use","0"
"Israel","","","Israel","","","successful_grants_11_15_use","0"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_use","0"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","20"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","80"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","100"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","20"
"Canada","","","Nova Scotia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_use","0"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","100"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","0"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","30"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","50"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","50"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_use","90"
