"Location","Country","Country_work","gender","what_participant_group","field_research","total_research","type","percent"
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",20
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",70
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",30
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",50
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",30
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",90
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",0
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",70
"China","China","","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",30
"Russian Federation","Russian Federation","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",10
"Florida","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",50
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",40
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",90
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",30
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",20
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",40
"Chile","Chile","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",80
"New Brunswick","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",100
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",30
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",100,"percent_fundemental_research_current",0
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",50,"percent_fundemental_research_current",30
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",20
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",110,"percent_fundemental_research_current",72.7272727272727
"Nova Scotia","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_fundemental_research_current",50
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",20
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",80
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",30
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",10
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",20
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"percent_fundemental_research_current",10
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",40
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",80
"Israel","Israel","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_fundemental_research_current",10
"Israel","Israel","","","","",100,"percent_fundemental_research_current",90
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",80
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",70
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",10
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"Alberta","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",0
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",40
"Newfoundland and Labrador","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",50
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",10
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",70
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",40
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",50
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",80
"Germany","Germany","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",80
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",80
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",50
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",0
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",170,"percent_fundemental_research_current",58.8235294117647
"Switzerland","Switzerland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",110,"percent_fundemental_research_current",72.7272727272727
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",40
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",70
"Massachusetts","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",40
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",80
"California","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",50
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",20
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",20
"Utah","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",0
"Delaware","Delaware","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",60
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",90
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",40
"India","India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",190,"percent_fundemental_research_current",15.7894736842105
"Newfoundland and Labrador","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",0
"British Columbia","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",70
"","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",100,"percent_fundemental_research_current",0
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",80
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",90,"percent_fundemental_research_current",50
"New Brunswick","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"Ontario","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_fundemental_research_current",10
"Pakistan","Pakistan","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",130,"percent_fundemental_research_current",46.1538461538462
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",10
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",40
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",20
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",50
"Alabama","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",90
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",70
"United Kingdom","United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",70
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",90
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",80
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",10
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"Belgium","Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",20
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",130,"percent_fundemental_research_current",23.0769230769231
"Europe","Europe","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_fundemental_research_current",10
"United Kingdom","United Kingdom","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",20
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",40
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",0
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",30
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",20
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"Australia","Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",10
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",20
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",40
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",50
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",10
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",40
"New Zealand","New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",70
"New Zealand","New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",20
"New Zealand","New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",30
"New Zealand","New Zealand","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",20
"New Zealand","New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",10
"Georgia","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",10
"Minnesota","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",30
"Idaho","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",80
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",80
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",70
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",40
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",70
"Malta","Malta","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",80
"Uruguay","Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",180,"percent_fundemental_research_current",22.2222222222222
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","",140,"percent_fundemental_research_current",14.2857142857143
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",80,"percent_fundemental_research_current",0
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","",110,"percent_fundemental_research_current",18.1818181818182
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"Uruguay","Uruguay","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",90
"Indonesia","Indonesia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",40
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",40
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",80
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",40
"Uruguay","Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",90,"percent_fundemental_research_current",40
"Uruguay","Uruguay","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",140,"percent_fundemental_research_current",21.4285714285714
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",50
"Uruguay","Uruguay","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",40
"New Zealand","New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",90
"Malta","Malta","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",50
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",0
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",60
"Malta","Malta","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",20
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"India","India","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",60
"British Columbia","Canada","Bosnia and Herzegovina","Female","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science",180,"percent_Use_inspired_Research_current",5.55555555555556
"British Columbia","Canada","Brazil","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",110,"percent_Use_inspired_Research_current",18.1818181818182
"British Columbia","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",110,"percent_Use_inspired_Research_current",27.2727272727273
"British Columbia","Canada","","","","",120,"percent_Use_inspired_Research_current",16.6666666666667
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",30
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",0
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Austria","Austria","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",120,"percent_Use_inspired_Research_current",50
"Switzerland","Switzerland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",10
"Netherlands","Netherlands","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Use_inspired_Research_current",10
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",10
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Use_inspired_Research_current",10
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Cyprus","Cyprus","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",10
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",180,"percent_Use_inspired_Research_current",27.7777777777778
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",10
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_Use_inspired_Research_current",80
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",50
"Germany","Germany","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Belgium","Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",0
"Romania","Romania","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",40
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",50
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",50,"percent_Use_inspired_Research_current",30
"Poland","Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",0
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",40
"Massachusetts","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_Use_inspired_Research_current",50
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",50
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",50
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",50
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",0
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",30
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_Use_inspired_Research_current",30
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Chile","Chile","","","Senior academic researcher with >10 years of experience applying for research grants","",160,"percent_Use_inspired_Research_current",50
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",20
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_Use_inspired_Research_current",30
