"Country","Country_work","gender","what_participant_group","field_research","Location","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy",NA,NA,1,NA,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",NA,NA,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"Greece","","","Senior academic researcher with >10 years of experience applying for research grants","","Greece",NA,NA,NA,NA,NA
"Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Netherlands",NA,NA,NA,NA,NA
"Italy","","","","","Italy",NA,NA,NA,NA,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy",NA,NA,NA,NA,NA
"Switzerland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Switzerland",NA,NA,NA,NA,NA
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy",NA,NA,NA,NA,NA
"Germany","","","","","Germany",NA,NA,NA,NA,NA
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy",NA,NA,NA,NA,NA
"Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Italy",NA,NA,NA,NA,NA
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy",NA,NA,NA,NA,NA
"Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Italy",NA,NA,NA,1,NA
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy",NA,NA,NA,NA,NA
"Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Italy",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Germany","","","Senior academic researcher with >10 years of experience applying for research grants","","Germany",NA,1,NA,1,1
"Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Belgium",1,NA,NA,1,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","France",NA,NA,NA,NA,NA
"Romania","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Romania",NA,NA,NA,NA,NA
"Greece","","","Senior academic researcher with >10 years of experience applying for research grants","","Greece",NA,NA,NA,NA,NA
"Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Italy",NA,NA,NA,NA,NA
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands",1,1,NA,1,NA
"Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Italy",NA,NA,NA,NA,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"Belgium","","","","","Belgium",NA,NA,NA,NA,NA
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy",NA,NA,NA,NA,NA
"Switzerland","","","","","Switzerland",NA,NA,NA,NA,NA
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy",NA,NA,NA,1,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Poland",NA,NA,NA,1,NA
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy",NA,NA,NA,NA,NA
"France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","France",NA,NA,NA,NA,NA
"Italy","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Italy",NA,NA,NA,NA,NA
"Italy","","","","","Italy",NA,NA,NA,NA,NA
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Quebec",NA,NA,NA,NA,NA
"Italy","","","","","Italy",NA,NA,NA,NA,NA
"Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Italy",NA,NA,NA,NA,NA
"Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Italy",NA,NA,NA,NA,NA
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy",NA,NA,NA,NA,NA
"Italy","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Italy",NA,NA,NA,NA,NA
"Italy","","","","","Italy",NA,NA,NA,NA,NA
"France","","","","","France",NA,NA,NA,NA,NA
"Spain","","","","","Spain",NA,NA,NA,NA,NA
"Romania","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Romania",NA,NA,NA,NA,NA
"Greece","","","Senior academic researcher with >10 years of experience applying for research grants","","Greece",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,1,NA,NA
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy",1,NA,NA,1,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Massachusetts",NA,NA,NA,NA,NA
"Philippines","","","","","Philippines",NA,NA,NA,NA,NA
"Italy","","","","","Italy",NA,NA,NA,NA,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",NA,1,NA,NA,NA
"Italy","","","","","Italy",NA,NA,NA,NA,NA
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands",NA,NA,NA,1,NA
"South Africa","","","","","South Africa",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia",NA,NA,NA,NA,NA
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia",NA,NA,NA,1,NA
"Australia","","","","","Australia",NA,NA,NA,NA,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"Greece","","","","","Greece",NA,NA,NA,NA,NA
"Mississippi","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Mississippi",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","New York",NA,NA,NA,NA,NA
"Singapore","","","","","Singapore",NA,NA,NA,NA,NA
"United Kingdom","","","","","United Kingdom",NA,NA,NA,NA,NA
"France","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","France",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"USA","","","","","Utah",NA,NA,NA,NA,NA
"New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","New Zealand",NA,NA,NA,NA,NA
"Netherlands","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Netherlands",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Alabama",NA,NA,NA,NA,NA
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","California",NA,NA,NA,NA,NA
"Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Australia",NA,NA,NA,NA,NA
"Australia","","","","","Australia",NA,NA,NA,NA,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Spain","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Spain",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia",1,NA,NA,1,NA
"Germany","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Germany",NA,NA,NA,NA,NA
"Germany","","","Senior academic researcher with >10 years of experience applying for research grants","","Germany",1,NA,NA,NA,NA
"Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Poland",NA,NA,NA,NA,NA
"Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Poland",NA,NA,NA,NA,NA
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia",NA,NA,NA,NA,NA
"Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Poland",NA,NA,NA,NA,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",NA,NA,NA,NA,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",NA,NA,NA,NA,NA
"France","","","","","France",NA,NA,NA,NA,NA
"France","","","","","France",NA,NA,NA,NA,NA
"France","","","","","France",NA,NA,NA,NA,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",NA,NA,NA,NA,NA
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom",NA,NA,NA,NA,NA
"Serbia","","","Senior academic researcher with >10 years of experience applying for research grants","","Serbia",1,NA,NA,NA,NA
"Serbia","","","","","Serbia",NA,NA,NA,NA,NA
"Portugal","","","Senior academic researcher with >10 years of experience applying for research grants","","Portugal",NA,NA,NA,NA,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",NA,NA,NA,NA,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",NA,NA,NA,NA,1
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",NA,NA,NA,NA,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",NA,NA,NA,NA,NA
"France","","","","","France",NA,NA,NA,NA,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Alberta",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","Australia",NA,NA,NA,NA,NA
"Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Poland",NA,1,NA,NA,NA
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Chile","","","Senior academic researcher with >10 years of experience applying for research grants","","Chile",1,NA,NA,NA,NA
"Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Australia",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Serbia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Serbia",NA,NA,NA,NA,NA
"Serbia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Serbia",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Serbia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Serbia",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"USA","","","","","Texas",NA,NA,NA,NA,NA
"Brazil","","","","","Brazil",NA,NA,NA,NA,NA
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia",NA,NA,NA,NA,NA
"France","","","","","France",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario",NA,NA,NA,1,NA
"Poland","","","","","Poland",NA,NA,NA,NA,NA
"Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Poland",1,1,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Serbia","","","","","Serbia",NA,NA,NA,NA,NA
"Singapore","","","","","Singapore",NA,NA,NA,NA,NA
"Poland","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Poland",NA,NA,NA,NA,NA
"USA","","","","","California",NA,NA,NA,NA,NA
"Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Poland",NA,1,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","California",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",1,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Florida",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"USA","","","","","Minnesota",NA,NA,NA,NA,NA
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","New York",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Mexico","","","","","Mexico",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Spain","","","Senior academic researcher with >10 years of experience applying for research grants","","Spain",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Spain","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Spain",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Israel",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Serbia","","","","","Serbia",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Germany","","","","","Germany",NA,NA,NA,NA,NA
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel",NA,NA,NA,NA,NA
"Israel","","","","","Israel",NA,NA,NA,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,NA,NA,NA
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Nebraska",NA,NA,1,NA,NA
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel",NA,NA,1,NA,NA
"USA","","","","","Nebraska",NA,NA,NA,NA,NA
"USA","","","","","Illinois",NA,NA,NA,NA,NA
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Nebraska",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Brazil",NA,NA,NA,NA,NA
"Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Brazil",NA,NA,NA,NA,NA
"Brazil","","","","","Brazil",NA,NA,NA,NA,NA
"Canada","","","","","Nova Scotia",NA,NA,NA,NA,NA
"Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Brazil",NA,NA,NA,NA,NA
"Brazil","","","","","Brazil",NA,NA,NA,NA,NA
"Brazil","","","","","Brazil",NA,NA,NA,NA,NA
"Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Brazil",NA,NA,1,NA,NA
"Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Brazil",NA,NA,NA,1,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"Canada","","","","","Ontario",NA,NA,NA,NA,NA
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Mexico","","","","","Mexico",NA,NA,NA,NA,NA
"Brazil","","","","","Brazil",NA,NA,NA,NA,NA
"Brazil","","","","","Brazil",NA,NA,NA,NA,NA
"Brazil","","","","","Brazil",NA,NA,NA,NA,NA
"Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Brazil",NA,NA,1,1,NA
