"Location","Country","Country_work","gender","what_participant_group","field_research","changed_10yrs","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other"
"Netherlands","Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Jordan","Jordan","","","","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,1,NA,NA
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,NA,1,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"Sweden","Sweden","","","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","No",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,1,1,NA,NA
"Austria","Austria","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,NA,1,1,NA
"Switzerland","Switzerland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",1,NA,1,NA,NA
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","No",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Yes",NA,1,NA,NA,NA
"Italy","Italy","","","","","",NA,NA,NA,NA,NA
"Italy","Italy","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,1,1,NA,NA
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Belgium","Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Italy","Italy","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Cyprus","Cyprus","","","","","",NA,NA,NA,NA,NA
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","No",NA,NA,NA,NA,NA
"Belgium","Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Germany","Germany","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Yes",NA,NA,1,NA,NA
"Austria","Austria","","","","","",NA,NA,NA,NA,NA
"Italy","Italy","","","","","",NA,NA,NA,NA,NA
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"France","France","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Washington","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Italy","Italy","","","","","",NA,NA,NA,NA,NA
"Cyprus","Cyprus","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,NA,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"Greece","Greece","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Italy","Italy","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Switzerland","Switzerland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Germany","Germany","","","","","",NA,NA,NA,NA,NA
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",NA,NA,1,NA,NA
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Yes",NA,NA,1,NA,NA
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,1,NA,NA
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"Germany","Germany","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,1
"Belgium","Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",1,1,1,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Romania","Romania","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",1,1,1,NA,NA
"Greece","Greece","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",NA,NA,1,NA,NA
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Belgium","Belgium","","","","","",NA,NA,NA,NA,NA
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Switzerland","Switzerland","","","","","",NA,NA,NA,NA,NA
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,1,1,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Poland","Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",NA,NA,1,NA,NA
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Italy","Italy","","","","","",NA,NA,NA,NA,NA
"Quebec","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Italy","Italy","","","","","",NA,NA,NA,NA,NA
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Italy","Italy","","","","","",NA,NA,NA,NA,NA
"France","France","","","","","",NA,NA,NA,NA,NA
"Spain","Spain","","","","","",NA,NA,NA,NA,NA
"Romania","Romania","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Greece","Greece","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,1,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"Massachusetts","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",NA,1,NA,NA,NA
"Philippines","Philippines","","","","","",NA,NA,NA,NA,NA
"Italy","Italy","","","","","",NA,NA,NA,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,1,NA,NA
"Italy","Italy","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"South Africa","South Africa","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","Yes",NA,NA,NA,NA,NA
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,1,1,NA,NA
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,1,1,1,NA
"Australia","Australia","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","No",NA,NA,NA,NA,NA
"Greece","Greece","","","","","",NA,NA,NA,NA,NA
"Mississippi","Mississippi","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,1,NA,NA
"Singapore","Singapore","","","","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","","","",NA,NA,NA,NA,NA
"France","France","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Utah","USA","","","","","",NA,NA,NA,NA,NA
"New Zealand","New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",NA,NA,NA,NA,NA
"Alabama","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"California","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Australia","Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Australia","Australia","","","","","",NA,NA,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Spain","Spain","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","","","",NA,NA,NA,NA,NA
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Germany","Germany","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Germany","Germany","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Poland","Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Poland","Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Poland","Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"France","France","","","","","",NA,NA,NA,NA,NA
"France","France","","","","","",NA,NA,NA,NA,NA
"France","France","","","","","",NA,NA,NA,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Serbia","Serbia","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Serbia","Serbia","","","","","",NA,NA,NA,NA,NA
"Portugal","Portugal","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,1
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"France","France","","","","","",NA,NA,NA,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","Yes",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Alberta","Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,1,1,1,NA
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,1,NA,NA
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"","","","","","","",NA,NA,NA,NA,NA
"Chile","Chile","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,NA,NA,NA
"Australia","Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Serbia","Serbia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Serbia","Serbia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"Serbia","Serbia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Texas","USA","","","","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","","","",NA,NA,NA,NA,NA
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"France","France","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Poland","Poland","","","","","",NA,NA,NA,NA,NA
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Serbia","Serbia","","","","","",NA,NA,NA,NA,NA
"Singapore","Singapore","","","","","",NA,NA,NA,NA,NA
"Poland","Poland","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Yes",NA,NA,NA,NA,NA
"California","USA","","","","","",NA,NA,NA,NA,NA
"Poland","Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",NA,1,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Yes",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"California","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,NA,NA,NA,NA
"Florida","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Minnesota","USA","","","","","",NA,NA,NA,NA,NA
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Mexico","Mexico","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Spain","Spain","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Spain","Spain","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Israel","Israel","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Serbia","Serbia","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Germany","Germany","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Yes",1,1,1,NA,NA
"Israel","Israel","","","","","",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Nebraska","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Nebraska","USA","","","","","",NA,NA,NA,NA,NA
"Illinois","USA","","","","","",NA,NA,NA,NA,NA
"Nebraska","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Yes",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
