"Country","Country_work","gender","Location","what_participant_group","field_research","practical_applications_important_11_15","practical_applications_important_6_10"
"Italy","","","Italy","","","",""
"Canada","","","Quebec","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Italy","","","Italy","","","",""
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Italy","","","Italy","","","",""
"France","","","France","","","",""
"Spain","","","Spain","","","",""
"Romania","","","Romania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Greece","","","Greece","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","Not at all important","Not at all important"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Massachusetts","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Philippines","","","Philippines","","","",""
"Italy","","","Italy","","","",""
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Italy","","","Italy","","","",""
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","",""
"South Africa","","","South Africa","","","",""
"Canada","","","British Columbia","","","",""
"Canada","","","British Columbia","","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Quite important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Australia","","","Australia","","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Greece","","","Greece","","","",""
"Mississippi","","","Mississippi","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Somewhat important"
"Singapore","","","Singapore","","","",""
"United Kingdom","","","United Kingdom","","","",""
"France","","","France","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Israel","","","Israel","","","",""
"USA","","","Utah","","","",""
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"USA","","","Alabama","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Somewhat important"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Australia","","","Australia","","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Spain","","","Spain","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"","","","","","","",""
"Canada","","","Ontario","","","",""
"Canada","","","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Germany","","","Germany","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","","","",""
"France","","","France","","","",""
"France","","","France","","","",""
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Serbia","","","Serbia","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Somewhat important"
"Serbia","","","Serbia","","","",""
"Portugal","","","Portugal","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","","","",""
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Mandatory","Very important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Alberta","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Quite important","Quite important"
"Israel","","","Israel","","","",""
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Poland","","","Poland","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","","","",""
"Chile","","","Chile","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Serbia","","","Serbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Serbia","","","Serbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Serbia","","","Serbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","","","",""
"USA","","","Texas","","","",""
"Brazil","","","Brazil","","","",""
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"France","","","France","","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Very important"
"Poland","","","Poland","","","",""
"Poland","","","Poland","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Somewhat important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important",""
"Serbia","","","Serbia","","","",""
"Singapore","","","Singapore","","","",""
"Poland","","","Poland","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"USA","","","California","","","",""
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quite important","Very important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","California","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Florida","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Very important"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Minnesota","","","",""
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","","","",""
"Mexico","","","Mexico","","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Spain","","","Spain","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Very important"
"Israel","","","Israel","","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quite important","Somewhat important"
"Israel","","","Israel","","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Spain","","","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Somewhat important","Somewhat important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Somewhat important","Somewhat important"
"Serbia","","","Serbia","","","",""
"Israel","","","Israel","","","",""
"Germany","","","Germany","","","",""
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Nebraska","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Nebraska","","","",""
"USA","","","Illinois","","","",""
"USA","","","Nebraska","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Netherlands","","","Netherlands","","","",""
"Brazil","","","Brazil","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Brazil","","","Brazil","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Brazil","","","Brazil","","","",""
"Canada","","","Nova Scotia","","","",""
"Brazil","","","Brazil","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Brazil","","","Brazil","","","",""
"Brazil","","","Brazil","","","",""
"Brazil","","","Brazil","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Brazil","","","Brazil","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","","","",""
"Canada","","","Ontario","","","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"","","","","","","",""
"Mexico","","","Mexico","","","",""
"Brazil","","","Brazil","","","",""
"Brazil","","","Brazil","","","",""
"Brazil","","","Brazil","","","",""
"Brazil","","","Brazil","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Brazil","","","Brazil","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Brazil","","","Brazil","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Brazil","","","Brazil","","","",""
"Brazil","","","Brazil","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Brazil","","","Brazil","","","",""
"Brazil","","","Brazil","","","",""
"Montenegro","","","Montenegro","","","",""
"Serbia","","","Serbia","","","",""
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Belgium","","","Belgium","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","Canada","Male","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Can't comment","Can't comment"
"Canada","","","Alberta","","","",""
"Canada","","","Ontario","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Can't comment","Can't comment"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Washington","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Newfoundland and Labrador","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","Can't comment","Can't comment"
"Canada","","","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","","","",""
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Not at all important","Not at all important"
"Canada","","","Quebec","","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","Quebec","","","",""
"USA","","","Michigan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Chile","","","Chile","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","","","",""
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","Manitoba","","","",""
"","","","","","","",""
"Missouri","","","Missouri","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Somewhat important"
"","","","","","","",""
"Canada","","","Ontario","","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Canada","","","British Columbia","","","",""
