"Location","Country","Country_work","gender","what_participant_group","field_research","view_change_of_type"
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Slightly negative"
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Slightly negative"
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"","","","","","",""
"Germany","Germany","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly negative"
"Belgium","Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Neutral"
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Romania","Romania","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Slightly positive"
"Greece","Greece","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Slightly negative"
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Belgium","Belgium","","","","",""
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Switzerland","Switzerland","","","","",""
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly negative"
"Netherlands","Netherlands","","","","",""
"Poland","Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Slightly negative"
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",""
"Italy","Italy","","","","",""
"Quebec","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Italy","Italy","","","","",""
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",""
"Italy","Italy","","","","",""
"France","France","","","","",""
"Spain","Spain","","","","",""
"Romania","Romania","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Greece","Greece","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly negative"
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Massachusetts","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Slightly negative"
"Philippines","Philippines","","","","",""
"Italy","Italy","","","","",""
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"Italy","Italy","","","","",""
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"South Africa","South Africa","","","","",""
"British Columbia","Canada","","","","",""
"British Columbia","Canada","","","","",""
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly negative"
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly negative"
"Australia","Australia","","","","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Greece","Greece","","","","",""
"Mississippi","Mississippi","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Singapore","Singapore","","","","",""
"United Kingdom","United Kingdom","","","","",""
"France","France","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Israel","Israel","","","","",""
"Utah","USA","","","","",""
"New Zealand","New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Netherlands","Netherlands","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",""
"Alabama","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"California","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Australia","Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Australia","Australia","","","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Spain","Spain","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",""
"","","","","","",""
"Ontario","Canada","","","","",""
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"Germany","Germany","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Germany","Germany","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Poland","Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Poland","Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Poland","Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"France","France","","","","",""
"France","France","","","","",""
"France","France","","","","",""
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Serbia","Serbia","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Serbia","Serbia","","","","",""
"Portugal","Portugal","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"France","France","","","","",""
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Alberta","Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",""
"Israel","Israel","","","","",""
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly positive"
"Australia","Australia","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"","","","","","",""
"Chile","Chile","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Australia","Australia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Serbia","Serbia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Serbia","Serbia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Serbia","Serbia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","","",""
"Texas","USA","","","","",""
"Brazil","Brazil","","","","",""
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"France","France","","","","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Poland","Poland","","","","",""
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Serbia","Serbia","","","","",""
"Singapore","Singapore","","","","",""
"Poland","Poland","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",""
"California","USA","","","","",""
"Poland","Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly negative"
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"California","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Florida","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Minnesota","USA","","","","",""
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","","",""
"Mexico","Mexico","","","","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Spain","Spain","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Spain","Spain","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Neutral"
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Serbia","Serbia","","","","",""
"Israel","Israel","","","","",""
"Germany","Germany","","","","",""
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly positive"
"Israel","Israel","","","","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Nebraska","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Nebraska","USA","","","","",""
"Illinois","USA","","","","",""
"Nebraska","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Netherlands","Netherlands","","","","",""
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Brazil","Brazil","","","","",""
"Nova Scotia","Canada","","","","",""
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","","",""
"Ontario","Canada","","","","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"","","","","","",""
"Mexico","Mexico","","","","",""
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very positive"
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Neutral"
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","","",""
"Montenegro","Montenegro","","","","",""
"Serbia","Serbia","","","","",""
"Uruguay","Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Belgium","Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly negative"
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"New Brunswick","Canada","Canada","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",""
"Alberta","Canada","","","","",""
"Ontario","Canada","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly negative"
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","","","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very negative"
"Newfoundland and Labrador","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Washington","USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"","","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly negative"
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly negative"
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Newfoundland and Labrador","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Very positive"
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly negative"
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Neutral"
"Quebec","Canada","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Neutral"
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"","","","","","",""
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Neutral"
"Quebec","Canada","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"Ontario","Canada","","","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Slightly positive"
"Quebec","Canada","","","","",""
"Michigan","USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Alberta","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Alberta","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Chile","Chile","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Neutral"
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"","","","","","",""
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","Very negative"
"Manitoba","Canada","","","","",""
"","","","","","",""
"Missouri","Missouri","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"China","China","","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Slightly positive"
"","","","","","",""
"Ontario","Canada","","","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"British Columbia","Canada","","","","",""
"Russian Federation","Russian Federation","","","Senior academic researcher with >10 years of experience applying for research grants","","Very negative"
"British Columbia","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Ontario","Canada","","","","",""
"Ontario","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Ontario","Canada","","","","",""
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Ontario","Canada","","","","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",""
