"Location","Country","gender","field_research","Country_work","PhD_Year","what_participant_group"
"Italy","Italy","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Italy","Italy","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Italy","Italy","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","",""
"Germany","Germany","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Belgium","Belgium","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"France","France","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Romania","Romania","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Greece","Greece","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Netherlands","Netherlands","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Belgium","Belgium","","","","",""
"Italy","Italy","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Switzerland","Switzerland","","","","",""
"Italy","Italy","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Netherlands","Netherlands","","","","",""
"Poland","Poland","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Italy","Italy","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Italy","Italy","","","","",""
"Quebec","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Italy","Italy","","","","",""
"Italy","Italy","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Italy","Italy","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Italy","Italy","","","","",""
"France","France","","","","",""
"Spain","Spain","","","","",""
"Romania","Romania","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Greece","Greece","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Massachusetts","USA","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Philippines","Philippines","","","","",""
"Italy","Italy","","","","",""
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","","","","",""
"Netherlands","Netherlands","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"South Africa","South Africa","","","","",""
"British Columbia","Canada","","","","",""
"British Columbia","Canada","","","","",""
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","",""
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Greece","Greece","","","","",""
"Mississippi","Mississippi","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New York","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Singapore","Singapore","","","","",""
"United Kingdom","United Kingdom","","","","",""
"France","France","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Israel","Israel","","","","",""
"Utah","USA","","","","",""
"New Zealand","New Zealand","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Netherlands","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Alabama","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"California","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Australia","Australia","","","","",""
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Spain","Spain","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"","","","","","",""
"Ontario","Canada","","","","",""
"Nova Scotia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Germany","Germany","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Germany","Germany","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Poland","Poland","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Poland","Poland","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Poland","Poland","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","",""
"France","France","","","","",""
"France","France","","","","",""
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Serbia","Serbia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Serbia","Serbia","","","","",""
"Portugal","Portugal","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","",""
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Alberta","Canada","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Israel","Israel","","","","",""
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Poland","Poland","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","",""
"Chile","Chile","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Serbia","Serbia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Serbia","Serbia","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Serbia","Serbia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","",""
"Texas","USA","","","","",""
"Brazil","Brazil","","","","",""
"Australia","Australia","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"France","France","","","","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Poland","Poland","","","","",""
"Poland","Poland","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Serbia","Serbia","","","","",""
"Singapore","Singapore","","","","",""
"Poland","Poland","","","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"California","USA","","","","",""
"Poland","Poland","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"California","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Florida","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Minnesota","USA","","","","",""
"New York","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","",""
"Mexico","Mexico","","","","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Spain","Spain","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","","",""
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","",""
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Spain","Spain","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Serbia","Serbia","","","","",""
"Israel","Israel","","","","",""
"Germany","Germany","","","","",""
"Israel","Israel","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","",""
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Nebraska","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Nebraska","USA","","","","",""
"Illinois","USA","","","","",""
"Nebraska","USA","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Netherlands","Netherlands","","","","",""
"Brazil","Brazil","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Brazil","Brazil","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Brazil","Brazil","","","","",""
"Nova Scotia","Canada","","","","",""
"Brazil","Brazil","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Brazil","Brazil","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","",""
"Ontario","Canada","","","","",""
"","","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","","","","","",""
"Mexico","Mexico","","","","",""
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Brazil","Brazil","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Brazil","Brazil","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Brazil","Brazil","","","","",""
"Brazil","Brazil","","","","",""
"Montenegro","Montenegro","","","","",""
"Serbia","Serbia","","","","",""
"Uruguay","Uruguay","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Belgium","Belgium","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Brunswick","Canada","Male","Natural Science","Canada","I did not complete a PhD","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Alberta","Canada","","","","",""
"Ontario","Canada","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","",""
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Newfoundland and Labrador","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Washington","USA","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Newfoundland and Labrador","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"British Columbia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Alberta","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Nova Scotia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Alberta","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Quebec","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","",""
"Alberta","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","",""
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Alberta","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Quebec","Canada","","","","",""
"Michigan","USA","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Alberta","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"British Columbia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Alberta","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Chile","Chile","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"British Columbia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","",""
"British Columbia","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Manitoba","Canada","","","","",""
"","","","","","",""
"Missouri","Missouri","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"China","China","","Physical Science (eg. math, physics, chemistry, computer science)","","1993","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","",""
"Ontario","Canada","","","","",""
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","","","","",""
"Russian Federation","Russian Federation","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Ontario","Canada","","","","",""
"Ontario","Canada","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Ontario","Canada","","","","",""
"","","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"","","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","",""
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Ontario","Canada","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Hawaii","USA","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Florida","USA","","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Alberta","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"Lebanon","Lebanon","","","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
