"Country","Country_work","gender","Location","what_participant_group","field_research","year","level"
"Canada","","","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not very important"
"Pakistan","","","Pakistan","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Somewhat important"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"United Kingdom","","","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Somewhat important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Somewhat important"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Can't comment"
"United Kingdom","","","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not very important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Can't comment"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not at all important"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","include_nonacademia_partners_success_11_15","Mandatory"
"Europe","","","Europe","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","include_nonacademia_partners_success_11_15","Mandatory"
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"USA","","","Massachusetts","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not very important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not very important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Can't comment"
"","","","","","","include_nonacademia_partners_success_11_15","Somewhat important"
"Japan","","","Japan","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Can't comment"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not very important"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Can't comment"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Quite important"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","include_nonacademia_partners_success_11_15","Somewhat important"
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Quite important"
"New Zealand","","","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Can't comment"
"USA","","","Utah","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Can't comment"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not at all important"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Not at all important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not very important"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not at all important"
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Quite important"
"Argentina","","","Argentina","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Quite important"
"Malta","","","Malta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Mandatory"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","include_nonacademia_partners_success_11_15","Somewhat important"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not at all important"
"Indonesia","","","Indonesia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not very important"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Can't comment"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not at all important"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not very important"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Mandatory"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","include_nonacademia_partners_success_11_15","Not very important"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Can't comment"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not very important"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not very important"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Can't comment"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Quite important"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","include_nonacademia_partners_success_6_10","Not very important"
"Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","include_nonacademia_partners_success_6_10","Not very important"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Quite important"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Quite important"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not at all important"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","include_nonacademia_partners_success_6_10","Quite important"
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Can't comment"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","include_nonacademia_partners_success_6_10","Quite important"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Quite important"
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Quite important"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Can't comment"
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"Belgium","","","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Somewhat important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"Romania","","","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Can't comment"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not very important"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Not very important"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not at all important"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","include_nonacademia_partners_success_6_10","Can't comment"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not at all important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Somewhat important"
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not very important"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"Serbia","","","Serbia","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not very important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not very important"
"Canada","","","Alberta","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","include_nonacademia_partners_success_6_10","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"Poland","","","Poland","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not very important"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Quite important"
"USA","","","Florida","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not very important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Quite important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Somewhat important"
"Spain","","","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not at all important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not at all important"
"Canada","Canada","Male","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","include_nonacademia_partners_success_6_10","Can't comment"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Can't comment"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Can't comment"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not at all important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Quite important"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","include_nonacademia_partners_success_6_10","Somewhat important"
"Russian Federation","","","Russian Federation","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Quite important"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Not very important"
"USA","","","Florida","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Not at all important"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not at all important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Quite important"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"Canada","","","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_6_10","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","include_nonacademia_partners_success_6_10","Quite important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Quite important"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Somewhat important"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not at all important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not at all important"
"Canada","","","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Not at all important"
"Canada","Canada","Male","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Engineering","include_nonacademia_partners_success_6_10","Somewhat important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not very important"
"Romania","","","Romania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_6_10","Can't comment"
"United Kingdom","","","United Kingdom","","","include_nonacademia_partners_success_6_10","Somewhat important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Not very important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_6_10","Can't comment"
