"Country","Country_work","gender","what_participant_group","field_research","Location","partnership_change_10yrs"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Newfoundland and Labrador","No"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Washington","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"","","","","","","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Newfoundland and Labrador","No"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","Can't comment (new researcher)"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","Yes"
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","Can't comment (new researcher)"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","No"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta","Can't comment (new researcher)"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","No"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia","No"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","British Columbia","No"
"China","","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","China","Yes"
"Russian Federation","","","Senior academic researcher with >10 years of experience applying for research grants","","Russian Federation","Yes"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","British Columbia","No"
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","Can't comment (new researcher)"
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Florida","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alberta","Can't comment (new researcher)"
"Lebanon","","","Senior academic researcher with >10 years of experience applying for research grants","","Lebanon","Yes"
"France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","France","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","Yes"
"Chile","","","Senior academic researcher with >10 years of experience applying for research grants","","Chile","No"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Quebec","Can't comment (new researcher)"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Ontario","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alberta","Can't comment (new researcher)"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","New Brunswick","Yes"
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","Can't comment (new researcher)"
"Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Ontario","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Can't comment (new researcher)"
"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Ontario","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Can't comment (new researcher)"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","Can't comment (new researcher)"
"Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Italy","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","Can't comment (new researcher)"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","No"
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Can't comment (new researcher)"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","Yes"
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","New Brunswick","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Quebec","Yes"
"Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Brazil","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","New Brunswick","No"
"Romania","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Romania","No"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","No"
"United Kingdom","","","","","United Kingdom","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","New Brunswick","No"
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","Can't comment (new researcher)"
"Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Ontario","No"
"Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Brazil","Can't comment (new researcher)"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Can't comment (new researcher)"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Israel","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Israel","Yes"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Finland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Finland","No"
"Israel","","","","","Israel","Yes"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia","Yes"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","Yes"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta","Can't comment (new researcher)"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alberta","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Manitoba","No"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Quebec","Can't comment (new researcher)"
"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","New Brunswick","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","British Columbia","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Canada","","","","","Saskatchewan","Yes"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","North Carolina","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alberta","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Newfoundland and Labrador","Yes"
"Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Ontario","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Manitoba","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Saskatchewan","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"United Kingdom","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","United Kingdom","Can't comment (new researcher)"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","Yes"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","Yes"
"Israel","","Male","","Interdisciplinary Science","Israel","Yes"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Nova Scotia","Can't comment (new researcher)"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Alberta","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","New Brunswick","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Saskatchewan","No"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Germany","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Germany","Yes"
"Israel","","","","","Israel","Yes"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","British Columbia","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"Switzerland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Switzerland","Yes"
"France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","France","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","New York","Yes"
"Czech Republic","","","Senior academic researcher with >10 years of experience applying for research grants","","Czech Republic","No"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Minnesota","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Manitoba","No"
